#{"t_start": 1518616015.5249615, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,39.963193
2.0,186,99.9541
0.0,127,140.589284
1.0,173,197.876041
