#{"t_start": 1518620744.185728, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,125,16.702657
0.0,129,29.999344
1.0,155,44.851754
0.0,127,57.681212
1.0,155,73.688563
1.0,155,89.78752
0.0,129,104.276577
2.0,201,125.776892
3.0,216,148.985108
1.0,152,163.450559
3.0,232,188.877044
1.0,157,204.848978
1.0,157,220.796769
1.0,155,236.964776
0.0,129,249.731347
0.0,127,262.747674
1.0,173,280.809262
0.0,125,292.434023
2.0,205,313.942206
0.0,125,326.371031
3.0,267,354.713934
3.0,250,380.766033
1.0,175,398.001284
5.0,350,435.490302
3.0,253,462.365079
2.0,206,483.581677
3.0,232,508.754422
0.0,125,521.484596
3.0,230,546.408177
0.0,129,559.515551
4.0,303,591.653138
1.0,153,606.799465
1.0,170,624.212592
4.0,300,656.11565
1.0,175,674.189717
2.0,200,694.652691
0.0,127,707.433478
0.0,129,719.963336
1.0,173,736.777405
1.0,171,754.626182
1.0,169,771.349311
1.0,157,787.688836
0.0,125,799.841398
0.0,129,812.958715
4.0,299,844.158274
2.0,198,863.871542
2.0,224,887.466778
4.0,324,921.964138
2.0,218,944.854043
1.0,155,960.831914
3.0,236,985.961161
0.0,129,998.556427
7.0,327,1033.035888
0.0,129,1045.952919
1.0,172,1063.668807
2.0,220,1086.496743
0.0,123,1099.038739
3.0,271,1127.916738
3.0,268,1157.059385
0.0,129,1169.741613
2.0,198,1190.520511
0.0,127,1203.974312
0.0,125,1216.5993
1.0,175,1234.369904
1.0,155,1249.671461
0.0,129,1263.355112
1.0,173,1280.578638
0.0,125,1292.713009
1.0,177,1310.743674
2.0,222,1333.886752
5.0,326,1368.419172
0.0,127,1381.399312
1.0,153,1397.129344
3.0,252,1423.310279
0.0,129,1436.225468
3.0,270,1464.626712
1.0,173,1482.161664
1.0,153,1497.339216
3.0,272,1525.387338
0.0,129,1538.003213
1.0,171,1555.347368
3.0,270,1583.930188
0.0,129,1597.142026
2.0,198,1617.913101
3.0,250,1643.859801
0.0,129,1656.727519
0.0,127,1668.838085
3.0,232,1694.011505
5.0,312,1727.694367
2.0,202,1748.689253
3.0,230,1772.241728
0.0,127,1785.291614
1.0,174,1802.605016
0.0,127,1814.809965
1.0,155,1830.351283
0.0,129,1842.814927
0.0,129,1855.061058
4.0,299,1887.395879
3.0,272,1914.987471
3.0,252,1942.016246
2.0,202,1962.261875
0.0,129,1975.259708
7.0,413,2019.585844
0.0,123,2032.341221
1.0,153,2047.823926
1.0,158,2063.728049
0.0,127,2076.428628
0.0,127,2089.165416
2.0,200,2109.180332
0.0,129,2122.269273
0.0,129,2135.91653
2.0,225,2158.842519
0.0,129,2171.519858
3.0,268,2200.835566
2.0,222,2223.445666
0.0,123,2235.860051
0.0,125,2248.017482
0.0,127,2259.86136
4.0,297,2292.413773
0.0,129,2305.229841
0.0,129,2318.576902
0.0,129,2331.793413
0.0,129,2344.467075
2.0,202,2365.136123
0.0,127,2377.350322
0.0,127,2390.264017
0.0,127,2401.713985
0.0,125,2414.341985
0.0,129,2427.30406
2.0,202,2448.180632
0.0,129,2461.106287
4.0,278,2491.906585
0.0,127,2504.163722
2.0,202,2524.442877
6.0,382,2565.979959
0.0,127,2578.732478
2.0,218,2602.239615
3.0,228,2625.891751
2.0,190,2645.534117
0.0,129,2658.541337
0.0,127,2671.900195
0.0,127,2684.024964
3.0,234,2709.681674
1.0,155,2725.417466
2.0,198,2745.46745
0.0,129,2758.268155
