#{"t_start": 1518620743.665118, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,234,29.22481
1.0,174,47.045654
3.0,216,69.592799
0.0,127,82.409053
7.0,380,126.169234
1.0,178,144.544161
0.0,129,157.547717
2.0,187,176.459102
1.0,154,192.600583
2.0,203,213.829343
0.0,129,226.802669
0.0,125,239.795612
0.0,129,252.661026
0.0,127,265.251451
2.0,224,288.435563
1.0,173,306.341128
1.0,175,324.587174
0.0,125,337.059806
1.0,157,352.692163
2.0,200,373.736071
9.0,404,415.756597
0.0,129,429.021933
0.0,127,441.39479
1.0,172,459.559129
1.0,173,477.258142
2.0,183,495.977608
2.0,198,517.203737
0.0,127,530.54576
0.0,129,543.629497
0.0,129,556.639549
0.0,129,569.456539
0.0,127,582.227829
4.0,302,613.986042
1.0,155,629.817254
2.0,219,652.683922
2.0,203,673.878874
0.0,127,686.60613
0.0,123,698.006798
1.0,153,713.311216
4.0,319,746.793684
1.0,155,762.552101
2.0,204,783.610195
0.0,127,796.2226
0.0,127,808.990235
0.0,129,821.827922
0.0,129,834.277586
2.0,198,854.151757
2.0,200,874.894974
6.0,379,915.578717
3.0,250,942.148764
0.0,129,955.128122
0.0,125,967.511182
1.0,155,983.418734
4.0,321,1017.419063
1.0,178,1035.542119
0.0,127,1048.314093
0.0,125,1059.916257
1.0,176,1078.416542
0.0,125,1091.080606
0.0,127,1104.138191
7.0,424,1150.067684
4.0,321,1184.476129
0.0,127,1197.652051
3.0,270,1227.289889
0.0,123,1238.682546
0.0,127,1251.321801
0.0,129,1264.699761
1.0,157,1280.429681
0.0,127,1292.802353
5.0,347,1329.756217
0.0,125,1342.189575
0.0,125,1354.14384
3.0,218,1376.913476
1.0,171,1394.859356
0.0,127,1407.62025
0.0,129,1420.414593
1.0,173,1438.260112
1.0,153,1453.689323
1.0,176,1470.918058
0.0,129,1483.625542
1.0,175,1501.502726
0.0,127,1513.967034
0.0,125,1525.846117
1.0,173,1543.350831
0.0,129,1556.022428
3.0,252,1582.419536
2.0,223,1606.078363
4.0,296,1637.381958
2.0,186,1656.237072
3.0,233,1681.369415
3.0,246,1707.533666
1.0,175,1725.540751
0.0,129,1738.505189
2.0,201,1759.55513
3.0,250,1785.81452
1.0,173,1803.026272
0.0,127,1815.099302
1.0,176,1833.082213
0.0,129,1845.700042
4.0,321,1879.268423
0.0,127,1891.687749
0.0,127,1904.110854
0.0,129,1916.884632
0.0,127,1929.622144
1.0,153,1945.283658
3.0,230,1968.938684
1.0,173,1986.316735
1.0,157,2001.90388
1.0,155,2018.41397
1.0,155,2034.680716
1.0,175,2052.261596
2.0,201,2072.871507
2.0,205,2094.616248
3.0,217,2116.220189
3.0,250,2143.389778
0.0,125,2155.849301
