#{"t_start": 1518620744.1219223, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,16.859547
0.0,129,30.192545
0.0,129,42.226561
0.0,127,55.168744
0.0,129,68.26604
0.0,127,80.490877
2.0,205,103.735083
1.0,157,120.267202
0.0,129,133.830959
1.0,157,149.827267
1.0,171,167.117365
0.0,127,179.997641
2.0,204,202.022519
2.0,223,224.624278
3.0,231,249.73559
1.0,175,267.90215
0.0,127,280.87303
1.0,157,295.968172
0.0,129,309.502808
5.0,350,346.951078
2.0,202,367.722499
0.0,127,379.843418
5.0,349,416.859823
1.0,178,435.141505
0.0,125,447.847949
4.0,276,476.866009
1.0,173,494.824237
3.0,228,519.368435
1.0,173,537.853697
4.0,301,570.231489
2.0,204,591.560205
1.0,157,606.966104
0.0,129,619.769745
0.0,127,632.822846
1.0,174,650.283139
0.0,129,663.287409
0.0,129,676.043317
1.0,157,691.965581
2.0,222,714.44838
2.0,223,737.279601
0.0,127,749.733099
2.0,224,773.057904
2.0,202,793.845143
0.0,127,806.493149
0.0,127,819.249639
0.0,129,831.962811
0.0,129,844.635579
1.0,172,861.489765
1.0,170,879.120075
0.0,127,891.729306
1.0,172,909.082583
1.0,155,925.313282
0.0,125,937.607387
3.0,248,964.320095
0.0,127,976.498195
0.0,127,989.069317
0.0,125,1001.410812
3.0,251,1027.677056
0.0,129,1040.4306
0.0,129,1053.220136
0.0,129,1065.663963
0.0,129,1079.068255
2.0,227,1103.551327
0.0,129,1116.757401
4.0,299,1148.673581
0.0,129,1161.517784
0.0,123,1173.325011
0.0,123,1185.746125
3.0,250,1212.793215
0.0,127,1225.458766
0.0,127,1238.122179
2.0,201,1259.082254
1.0,173,1277.040574
0.0,129,1289.716995
1.0,173,1306.836147
2.0,200,1327.846245
3.0,233,1352.347999
1.0,175,1369.907979
2.0,184,1389.257612
1.0,155,1404.891566
0.0,129,1417.692836
0.0,127,1430.375825
0.0,125,1442.351101
0.0,123,1454.616448
4.0,301,1485.998675
