#{"t_start": 1518620744.0881646, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,155,20.14283
2.0,188,39.167686
0.0,125,52.014287
3.0,216,74.304418
2.0,185,94.510428
0.0,127,108.065989
0.0,129,121.212774
5.0,316,155.432344
2.0,208,176.850563
2.0,201,198.371163
0.0,127,211.029484
3.0,249,237.949741
2.0,205,259.098786
1.0,171,277.07555
0.0,125,289.387417
0.0,127,302.127334
2.0,204,323.504789
0.0,129,336.355423
1.0,178,354.086396
0.0,127,366.787477
3.0,250,392.677291
0.0,127,405.053994
0.0,129,417.645556
4.0,298,449.508001
2.0,204,470.865039
1.0,153,485.92195
5.0,349,524.706043
0.0,129,538.240258
3.0,250,564.487203
3.0,217,587.576469
1.0,173,605.191498
2.0,185,624.174943
0.0,125,636.856463
2.0,202,657.759857
5.0,291,688.702621
1.0,175,705.950934
0.0,127,718.182859
0.0,125,730.717419
4.0,324,764.793225
0.0,125,776.925629
4.0,299,808.721066
2.0,220,831.867753
0.0,127,843.720192
3.0,268,871.928815
0.0,127,884.513458
2.0,202,904.989011
3.0,250,931.529609
4.0,262,959.872828
3.0,248,986.068427
1.0,151,1001.077734
9.0,384,1042.302719
2.0,202,1062.730575
1.0,170,1080.463943
4.0,302,1113.584248
1.0,176,1131.164045
0.0,129,1144.417411
1.0,178,1162.848471
4.0,285,1193.385364
0.0,127,1206.733372
0.0,129,1219.755918
1.0,154,1235.435079
2.0,200,1256.092421
6.0,401,1298.813183
3.0,250,1325.458414
2.0,201,1345.696339
2.0,200,1366.320175
0.0,129,1379.463187
2.0,186,1399.210296
2.0,187,1418.053265
6.0,380,1458.887153
0.0,129,1471.217845
2.0,202,1491.905482
2.0,201,1512.393644
0.0,129,1525.00277
2.0,204,1545.677299
1.0,157,1561.371119
2.0,203,1582.672684
3.0,228,1607.22314
2.0,225,1630.793427
3.0,270,1658.747721
1.0,155,1674.090928
1.0,155,1690.948976
3.0,234,1715.476792
4.0,277,1745.543935
2.0,204,1765.958704
1.0,173,1783.824509
0.0,129,1796.597913
2.0,201,1816.920745
4.0,321,1849.976553
0.0,129,1862.393955
1.0,155,1878.517928
0.0,127,1890.906448
3.0,269,1919.179502
5.0,288,1949.381497
0.0,125,1961.426885
0.0,127,1974.349555
2.0,189,1993.48673
0.0,127,2006.081032
1.0,173,2024.320525
1.0,173,2042.477983
0.0,129,2055.448761
3.0,272,2084.117501
0.0,125,2096.448489
1.0,157,2111.44439
0.0,129,2124.693471
1.0,174,2142.956877
0.0,123,2155.136485
3.0,234,2179.850229
10.0,424,2225.452901
1.0,157,2241.45451
0.0,127,2253.629941
0.0,129,2266.674044
0.0,129,2280.076097
3.0,252,2306.65664
3.0,248,2333.244982
2.0,200,2353.888047
0.0,127,2366.693263
1.0,175,2383.691333
15.0,528,2440.7788
0.0,125,2453.199025
2.0,220,2476.601875
1.0,153,2492.69393
0.0,127,2505.291021
3.0,252,2531.681621
1.0,173,2549.051773
4.0,321,2584.134819
2.0,222,2607.703096
1.0,153,2623.177166
1.0,176,2641.278809
1.0,155,2657.086477
0.0,129,2670.16937
0.0,129,2683.012294
0.0,127,2696.438701
0.0,127,2709.364561
1.0,175,2727.49055
4.0,319,2760.963105
1.0,157,2775.452832
4.0,300,2806.705452
1.0,156,2823.047235
