#{"t_start": 1518620743.9063637, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,202,25.636209
0.0,129,38.424929
0.0,127,50.887975
0.0,127,63.48717
0.0,125,75.933228
5.0,309,110.63222
1.0,152,127.0193
1.0,173,145.032564
2.0,187,163.802249
2.0,187,184.083817
2.0,225,207.701398
1.0,175,225.75788
0.0,125,238.638111
1.0,173,256.017482
1.0,153,271.712583
1.0,171,289.521442
3.0,272,318.351698
3.0,276,347.782388
8.0,373,386.901335
2.0,198,407.223996
0.0,127,419.903052
0.0,127,432.683618
0.0,127,445.502742
1.0,155,461.314169
1.0,153,476.359846
0.0,127,488.882949
0.0,123,501.405164
1.0,175,520.088085
0.0,129,534.055404
0.0,123,545.918187
0.0,129,558.877855
2.0,224,582.390455
0.0,125,594.782015
1.0,173,612.61833
1.0,173,630.257222
3.0,256,657.15695
3.0,213,679.125191
0.0,125,691.791014
0.0,129,704.755308
3.0,252,730.115334
0.0,125,742.210456
0.0,125,754.858438
3.0,250,780.838489
0.0,125,793.254151
0.0,125,805.051599
0.0,127,818.111792
0.0,127,830.22075
0.0,125,842.842311
10.0,473,893.059458
1.0,155,908.857473
0.0,125,921.344027
3.0,228,945.492455
1.0,176,963.652164
2.0,222,987.250329
3.0,252,1012.991063
0.0,127,1025.841226
1.0,173,1043.715991
2.0,202,1064.37247
2.0,200,1085.419635
0.0,125,1098.169396
3.0,248,1124.631601
1.0,173,1142.40313
2.0,222,1165.736603
0.0,129,1178.787953
0.0,127,1191.298542
2.0,198,1212.543322
1.0,173,1230.628001
1.0,173,1248.326949
0.0,129,1261.58091
2.0,198,1282.084615
2.0,190,1301.181413
0.0,127,1313.681794
1.0,173,1331.433711
0.0,129,1343.888843
0.0,129,1356.671794
0.0,129,1369.337434
2.0,201,1391.201113
0.0,129,1403.55496
0.0,125,1415.82198
0.0,129,1428.62101
0.0,129,1441.385067
0.0,127,1453.960641
0.0,129,1466.966285
2.0,225,1490.152778
1.0,173,1507.169261
0.0,127,1519.928877
3.0,252,1545.732234
0.0,127,1557.697432
8.0,354,1595.910902
0.0,127,1609.467626
0.0,129,1621.649889
3.0,270,1649.801834
1.0,171,1667.704678
0.0,125,1680.73269
0.0,125,1692.892853
2.0,225,1716.85584
3.0,230,1741.040035
1.0,156,1756.857927
0.0,127,1769.068616
1.0,173,1786.800322
1.0,175,1804.589848
0.0,125,1816.585404
6.0,401,1858.814113
0.0,125,1870.805733
3.0,232,1895.611245
0.0,129,1907.87021
1.0,173,1925.390102
2.0,200,1946.206661
0.0,129,1958.758639
2.0,203,1979.798476
0.0,125,1992.355203
0.0,127,2004.366195
1.0,155,2020.682036
3.0,272,2050.086492
3.0,232,2074.221041
4.0,279,2103.07254
0.0,127,2115.576739
1.0,173,2134.125122
0.0,127,2147.127242
5.0,330,2181.918512
0.0,127,2194.483226
1.0,157,2210.704904
2.0,202,2231.578737
2.0,205,2252.18494
0.0,129,2265.101725
2.0,202,2286.559498
2.0,202,2307.913246
2.0,204,2329.752464
0.0,125,2342.030517
0.0,125,2354.160781
0.0,127,2366.976579
5.0,375,2406.165545
1.0,151,2421.723956
0.0,127,2434.091327
3.0,272,2463.323339
6.0,397,2506.307015
8.0,373,2545.860895
0.0,129,2558.833168
1.0,153,2574.508437
3.0,270,2603.894611
0.0,127,2616.602177
0.0,129,2629.519574
4.0,302,2662.010418
2.0,225,2685.974355
5.0,365,2725.776407
4.0,318,2759.134656
2.0,204,2779.728003
5.0,350,2816.447419
1.0,175,2834.450688
2.0,222,2858.172944
2.0,204,2880.071082
0.0,129,2892.486558
0.0,127,2905.13979
2.0,200,2925.766794
1.0,173,2943.877079
4.0,299,2975.594464
0.0,127,2988.50221
0.0,129,3002.160322
0.0,127,3014.815753
0.0,125,3027.546797
1.0,173,3045.069595
0.0,127,3057.814558
4.0,260,3085.60178
0.0,129,3098.227063
0.0,125,3109.891837
0.0,129,3122.819938
3.0,233,3146.902683
0.0,129,3159.855098
2.0,202,3181.006875
0.0,123,3193.486327
1.0,155,3209.35362
0.0,127,3221.800233
0.0,129,3234.700438
0.0,129,3247.419812
0.0,129,3259.783805
1.0,172,3278.171867
1.0,154,3294.781452
2.0,202,3315.533581
2.0,203,3336.851099
2.0,198,3357.837559
0.0,129,3370.575619
2.0,222,3392.872791
0.0,127,3405.370265
0.0,127,3417.4239
0.0,127,3430.241304
0.0,127,3442.609126
0.0,129,3455.329206
4.0,299,3486.840677
0.0,129,3499.826612
5.0,350,3536.699002
2.0,198,3557.00725
1.0,172,3573.794677
0.0,125,3586.749627
0.0,127,3600.034953
1.0,157,3615.788738
6.0,379,3656.137951
