fps,value_loss,explained_variance,total_timesteps,nupdates,policy_entropy
137,0.00440775603055954,-88.76235961914062,80,1,1.3531568050384521
140,0.0016902100760489702,-0.020641088485717773,8000,100,1.3518413305282593
139,0.0030639381147921085,-0.6248821020126343,16000,200,1.350589394569397
140,0.009180819615721703,-0.40679776668548584,24000,300,1.3600950241088867
140,0.0027592056430876255,-0.2754913568496704,32000,400,1.367472529411316
140,0.0009458218701183796,-0.43324875831604004,40000,500,1.3800451755523682
141,0.048233762383461,0.037562668323516846,48000,600,1.3843543529510498
141,0.0037695076316595078,-0.1255854368209839,56000,700,1.3247668743133545
141,0.030745452269911766,0.016490280628204346,64000,800,1.3735988140106201
141,0.001052460982464254,-4.9809250831604,72000,900,1.375511884689331
141,0.009193943813443184,-0.011704325675964355,80000,1000,1.3477414846420288
141,0.0007485317182727158,0.1709631085395813,88000,1100,1.379058599472046
142,0.03001425229012966,0.018923401832580566,96000,1200,1.379129409790039
142,0.018430698662996292,0.01946568489074707,104000,1300,1.3731200695037842
142,0.024888381361961365,-0.011401057243347168,112000,1400,1.3841749429702759
142,0.033830370754003525,0.035948872566223145,120000,1500,1.3411896228790283
142,0.0017986722523346543,0.08796799182891846,128000,1600,1.3821605443954468
142,0.016237815842032433,0.05444979667663574,136000,1700,1.352668046951294
142,0.0024935402907431126,-0.009342074394226074,144000,1800,1.3752763271331787
142,0.001939383102580905,0.030508697032928467,152000,1900,1.3739359378814697
142,0.0026330221444368362,0.0414159893989563,160000,2000,1.3833683729171753
142,0.004274225328117609,0.13480329513549805,168000,2100,1.3802424669265747
142,0.001894272631034255,-0.036718010902404785,176000,2200,1.3803274631500244
142,0.0004681056016124785,0.24132049083709717,184000,2300,1.385652780532837
142,0.011963369324803352,0.07511734962463379,192000,2400,1.3838942050933838
142,0.02929907664656639,0.06408411264419556,200000,2500,1.3830060958862305
142,0.007628880441188812,0.049607038497924805,208000,2600,1.3850021362304688
142,0.011841448955237865,0.12274348735809326,216000,2700,1.3848505020141602
143,0.05416752025485039,0.07132285833358765,224000,2800,1.3847448825836182
143,0.008023250848054886,0.05375105142593384,232000,2900,1.385970115661621
143,0.001804001280106604,0.1313726305961609,240000,3000,1.3854825496673584
142,0.001853942172601819,0.18891888856887817,248000,3100,1.3823708295822144
143,0.0008888415177352726,0.41161298751831055,256000,3200,1.3829710483551025
143,0.005727802403271198,0.3105078935623169,264000,3300,1.3708699941635132
143,0.03874354436993599,0.21578681468963623,272000,3400,1.384833574295044
143,0.003290914697572589,0.019566059112548828,280000,3500,1.3851535320281982
143,0.0008465533028356731,0.6370084285736084,288000,3600,1.3822553157806396
143,0.019724976271390915,0.3070322871208191,296000,3700,1.383620262145996
143,0.0018175154691562057,0.2768860459327698,304000,3800,1.3844032287597656
143,0.01238621212542057,0.2553756833076477,312000,3900,1.3826051950454712
143,0.0005894942441955209,0.20340359210968018,320000,4000,1.3785077333450317
143,0.02226339839398861,0.3935839533805847,328000,4100,1.3792273998260498
143,0.026238733902573586,0.2339450716972351,336000,4200,1.3816206455230713
143,0.005465999711304903,0.5241418480873108,344000,4300,1.3756065368652344
143,0.015012452378869057,0.3887023329734802,352000,4400,1.3720159530639648
143,0.04899667948484421,0.4825596213340759,360000,4500,1.3744568824768066
143,0.034047190099954605,0.5274794101715088,368000,4600,1.3799232244491577
143,0.0036345222033560276,0.5605519711971283,376000,4700,1.3688843250274658
143,0.0024216289166361094,0.595465213060379,384000,4800,1.383120059967041
143,0.007044193334877491,0.8076151758432388,392000,4900,1.3812353610992432
143,0.020497210323810577,0.7055565118789673,400000,5000,1.3812873363494873
143,0.007531578652560711,0.7130351066589355,408000,5100,1.382776141166687
143,0.00924515537917614,0.7443890571594238,416000,5200,1.377968192100525
143,0.02400156483054161,0.637355625629425,424000,5300,1.3782562017440796
143,0.009227249771356583,0.8117080926895142,432000,5400,1.3749306201934814
143,0.010480050928890705,0.8965133652091026,440000,5500,1.3818795680999756
143,0.019283276051282883,0.5845967531204224,448000,5600,1.3793747425079346
143,0.02037641778588295,0.6923804879188538,456000,5700,1.379434585571289
143,0.01275734044611454,0.6617414355278015,464000,5800,1.3820956945419312
143,0.01361599750816822,0.7971562445163727,472000,5900,1.3831220865249634
143,0.01632450334727764,0.7551918774843216,480000,6000,1.3803462982177734
143,0.004332984797656536,0.6716526448726654,488000,6100,1.3781893253326416
143,0.0023849508725106716,0.9359055459499359,496000,6200,1.3804137706756592
143,0.019710442051291466,0.8645902872085571,504000,6300,1.3777905702590942
143,0.007042395882308483,0.8828140646219254,512000,6400,1.3845655918121338
143,0.011814245954155922,0.8706773370504379,520000,6500,1.3801542520523071
143,0.033852774649858475,0.8013769388198853,528000,6600,1.371259331703186
143,0.016505232080817223,0.7501452267169952,536000,6700,1.380969524383545
143,0.008377691730856895,0.9328952059149742,544000,6800,1.3802317380905151
143,0.02980653941631317,0.7280171811580658,552000,6900,1.3737081289291382
143,0.014865661039948463,0.8538939654827118,560000,7000,1.3702518939971924
143,0.009454757906496525,0.8287377655506134,568000,7100,1.3702536821365356
143,0.013556373305618763,0.7990492135286331,576000,7200,1.3761646747589111
143,0.009465724229812622,0.504886656999588,584000,7300,1.3817499876022339
143,0.01583215221762657,0.834125429391861,592000,7400,1.3761672973632812
143,0.012118610553443432,0.8858734369277954,600000,7500,1.3696359395980835
143,0.03140578418970108,0.7418694794178009,608000,7600,1.3654210567474365
143,0.007682730443775654,0.9229476973414421,616000,7700,1.3688335418701172
143,0.006086847744882107,0.9291767552495003,624000,7800,1.371635913848877
143,0.006503165699541569,0.8763828277587891,632000,7900,1.3636212348937988
143,0.012885193340480328,0.907330334186554,640000,8000,1.3611541986465454
143,0.01179373450577259,0.9271418675780296,648000,8100,1.3527017831802368
