#{"t_start": 1518620743.9641762, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,174,22.384413
4.0,296,53.692982
1.0,155,69.363447
0.0,129,82.424309
2.0,199,104.966227
1.0,175,123.519486
1.0,177,142.295154
3.0,237,166.58696
0.0,127,179.621764
1.0,155,195.730084
1.0,177,213.941713
2.0,207,236.126042
0.0,125,248.249095
2.0,190,268.372905
2.0,184,287.188611
0.0,127,299.952611
0.0,125,312.726022
1.0,173,330.077388
1.0,157,346.185517
1.0,174,363.66458
2.0,202,384.263536
9.0,404,427.768455
0.0,127,440.376476
0.0,127,453.281911
1.0,174,470.619855
1.0,175,488.385192
0.0,123,501.195242
2.0,205,523.010697
0.0,129,537.225578
0.0,127,549.563432
5.0,298,581.525424
0.0,129,593.835236
0.0,129,606.328864
2.0,219,629.609676
2.0,223,652.772765
0.0,127,665.65164
0.0,127,678.01875
5.0,326,712.580565
0.0,127,724.434004
0.0,127,736.869348
2.0,200,757.64591
1.0,172,775.255511
0.0,127,787.921418
0.0,127,800.297544
1.0,153,816.157239
10.0,468,865.914897
3.0,270,894.321302
0.0,125,906.071076
5.0,326,941.584405
1.0,153,957.281639
1.0,172,975.154172
1.0,173,992.578926
3.0,248,1018.2418
1.0,151,1033.746037
2.0,202,1054.155275
0.0,127,1066.982166
0.0,125,1079.776599
2.0,202,1101.204314
0.0,129,1114.518397
0.0,127,1126.343143
0.0,129,1139.176938
2.0,202,1160.800111
0.0,129,1173.542744
2.0,220,1197.241065
0.0,125,1209.642231
0.0,129,1222.845188
1.0,153,1238.341942
0.0,127,1250.944949
0.0,125,1263.985713
0.0,127,1276.702512
3.0,250,1302.642502
1.0,173,1320.340712
2.0,201,1340.432099
4.0,296,1371.637142
0.0,129,1385.051738
0.0,127,1397.77531
1.0,159,1413.517265
1.0,178,1431.922713
0.0,129,1444.513834
1.0,153,1460.432039
5.0,348,1496.624822
2.0,204,1517.615815
0.0,129,1530.213321
0.0,129,1542.79381
0.0,125,1554.747368
4.0,302,1587.178563
1.0,174,1605.333411
0.0,125,1617.894195
0.0,129,1630.458299
0.0,127,1642.693518
0.0,127,1655.208677
3.0,266,1683.925078
6.0,382,1725.493873
5.0,345,1762.340789
0.0,127,1774.454421
0.0,129,1787.546446
1.0,178,1805.723017
2.0,199,1825.458558
3.0,252,1851.41038
1.0,155,1867.128247
3.0,274,1895.995884
4.0,299,1927.521914
0.0,129,1940.295802
1.0,173,1957.381776
2.0,204,1979.204189
2.0,183,1997.779505
0.0,125,2010.053821
0.0,129,2023.452605
0.0,129,2036.462579
1.0,175,2054.205013
1.0,175,2072.00196
0.0,127,2084.719177
0.0,129,2097.40478
1.0,178,2115.375039
0.0,129,2128.89417
1.0,171,2146.718359
3.0,248,2172.213297
0.0,129,2185.782441
1.0,171,2203.009759
0.0,129,2215.618288
2.0,204,2236.844002
2.0,203,2257.239611
0.0,129,2270.147242
0.0,129,2283.717042
0.0,127,2296.480396
0.0,127,2309.319075
0.0,129,2322.209619
5.0,352,2359.943259
1.0,176,2377.571793
0.0,129,2390.576684
0.0,127,2402.348133
0.0,129,2415.083593
0.0,125,2427.604558
0.0,129,2440.425927
0.0,129,2453.366402
0.0,127,2466.264749
0.0,127,2479.228805
0.0,127,2492.457019
5.0,352,2529.439411
3.0,252,2555.941045
0.0,129,2568.944308
0.0,127,2582.076666
0.0,127,2594.922279
0.0,127,2607.844544
1.0,173,2625.63133
0.0,129,2638.678504
2.0,200,2659.48507
0.0,127,2672.292753
1.0,153,2688.132934
0.0,127,2701.301793
0.0,125,2714.117409
1.0,153,2729.306091
3.0,250,2754.623923
2.0,183,2772.798328
0.0,127,2785.249837
0.0,129,2797.883914
0.0,129,2810.455716
6.0,398,2853.513938
1.0,153,2870.310842
1.0,175,2887.894536
4.0,287,2918.308911
0.0,129,2931.028159
0.0,129,2944.131409
0.0,127,2956.855171
3.0,235,2981.302996
0.0,123,2993.919991
0.0,127,3007.162276
2.0,198,3027.973464
0.0,125,3040.520995
0.0,129,3053.415342
1.0,173,3071.07284
0.0,129,3084.000223
0.0,129,3096.577281
2.0,202,3117.357351
4.0,299,3148.879884
4.0,297,3180.402647
1.0,172,3198.434456
2.0,224,3221.996645
0.0,129,3234.870497
0.0,123,3246.47074
1.0,153,3261.918085
3.0,228,3287.153406
2.0,224,3310.594161
0.0,129,3323.598724
6.0,358,3362.640679
2.0,200,3382.635831
0.0,127,3395.120978
0.0,127,3407.341934
0.0,125,3419.068767
3.0,248,3445.238977
0.0,127,3457.965633
3.0,248,3484.10857
0.0,129,3496.098794
1.0,173,3513.484934
1.0,157,3529.671353
0.0,127,3542.27985
0.0,127,3554.655118
0.0,129,3567.379875
0.0,123,3579.139982
2.0,224,3603.693037
0.0,129,3616.516448
2.0,201,3637.411843
0.0,127,3649.436586
2.0,202,3669.867784
0.0,129,3682.461932
2.0,220,3704.819872
0.0,129,3718.18116
7.0,464,3767.231742
3.0,246,3792.851312
6.0,382,3834.125462
2.0,198,3854.699549
0.0,127,3867.183699
4.0,299,3899.153579
2.0,198,3919.877276
2.0,205,3941.308929
0.0,129,3954.190379
5.0,349,3991.304701
2.0,218,4014.145216
3.0,248,4040.337176
3.0,246,4065.133878
0.0,129,4078.078125
1.0,173,4096.130249
0.0,127,4109.053602
2.0,202,4129.815727
0.0,129,4143.185814
0.0,127,4155.914025
3.0,246,4180.941313
0.0,129,4193.825562
0.0,127,4206.810682
0.0,129,4219.751717
3.0,248,4246.129734
0.0,127,4258.660443
0.0,129,4271.748948
0.0,125,4283.298712
3.0,246,4309.412995
0.0,127,4322.128752
0.0,129,4335.411652
1.0,172,4353.76545
4.0,279,4383.437173
4.0,319,4417.11679
1.0,159,4433.665519
0.0,129,4446.05782
0.0,127,4458.522302
2.0,202,4478.760406
8.0,350,4516.225382
6.0,396,4558.621383
0.0,129,4571.471802
0.0,129,4584.282919
0.0,127,4597.245959
0.0,127,4610.022996
2.0,202,4630.95786
5.0,350,4669.006735
9.0,404,4712.938239
8.0,375,4752.866313
0.0,127,4765.499592
2.0,202,4786.223073
0.0,125,4798.706229
0.0,129,4811.811491
3.0,246,4837.402225
2.0,198,4858.057522
2.0,202,4878.552033
2.0,200,4899.23007
0.0,127,4911.961062
1.0,159,4928.262089
0.0,127,4941.236891
0.0,127,4953.993645
5.0,340,4989.064273
0.0,127,5001.632222
0.0,127,5014.32702
2.0,202,5034.621962
0.0,127,5047.200311
0.0,129,5060.180629
0.0,127,5072.443779
1.0,155,5088.106106
2.0,202,5108.70792
0.0,127,5121.429012
0.0,127,5133.291865
0.0,125,5145.9731
10.0,451,5195.089169
0.0,127,5207.932129
9.0,404,5251.749065
4.0,279,5280.77361
0.0,127,5293.335008
0.0,129,5305.912194
0.0,127,5317.667115
2.0,202,5338.80837
0.0,129,5351.708364
5.0,350,5389.090407
0.0,127,5400.448139
1.0,174,5418.193663
0.0,129,5431.135894
4.0,299,5462.623936
0.0,127,5475.60529
5.0,350,5512.736077
0.0,129,5525.722016
0.0,127,5538.242262
1.0,155,5553.660216
1.0,178,5571.881215
4.0,299,5604.11026
2.0,202,5625.79952
2.0,202,5646.519093
1.0,173,5664.682161
0.0,127,5677.788666
0.0,129,5690.597797
0.0,129,5702.343441
3.0,228,5727.602835
4.0,277,5757.300215
0.0,129,5770.287649
0.0,127,5782.677531
2.0,200,5803.529973
0.0,129,5816.216472
0.0,127,5829.023629
0.0,127,5840.72025
3.0,248,5866.267478
0.0,125,5879.010499
0.0,129,5891.822049
0.0,127,5903.8997
0.0,125,5915.995588
0.0,129,5928.67067
0.0,125,5941.083374
0.0,129,5953.672276
0.0,127,5966.028951
0.0,129,5978.617068
0.0,127,5990.529254
0.0,129,6003.064299
2.0,202,6023.611441
0.0,129,6036.482319
0.0,129,6048.311885
5.0,350,6086.317734
3.0,214,6107.822615
0.0,127,6120.73403
5.0,350,6157.791157
6.0,401,6200.110893
0.0,129,6213.163152
2.0,205,6234.036165
5.0,350,6271.598289
0.0,125,6283.637054
0.0,129,6296.48912
4.0,319,6330.12692
0.0,123,6342.160255
0.0,127,6354.361592
8.0,455,6403.620154
3.0,248,6430.151892
