#{"t_start": 1518620744.046864, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,203,25.572274
2.0,183,44.158739
5.0,296,75.797004
0.0,129,88.551183
1.0,154,106.126854
0.0,127,119.119911
0.0,127,133.190041
2.0,202,153.345031
2.0,203,174.14115
0.0,127,187.323895
0.0,129,200.443066
0.0,127,213.082984
0.0,127,225.987893
0.0,129,239.383979
1.0,157,255.053575
0.0,127,267.976691
1.0,155,283.748816
0.0,125,295.504749
1.0,153,311.279335
0.0,127,324.256719
1.0,173,342.091095
1.0,155,357.533253
4.0,301,389.033075
3.0,271,417.26349
4.0,298,448.922322
0.0,129,462.005335
0.0,127,474.614429
0.0,127,487.427036
4.0,256,514.852721
2.0,220,538.990465
0.0,129,551.852668
0.0,127,564.379057
2.0,201,585.468375
0.0,127,597.934599
0.0,127,610.53717
0.0,129,623.427462
1.0,157,639.592326
1.0,155,655.129316
1.0,173,673.138438
1.0,175,690.525634
2.0,224,713.245127
3.0,269,741.646991
0.0,129,754.427362
1.0,174,771.714859
0.0,129,785.036534
8.0,471,835.350953
6.0,392,876.837635
3.0,252,903.050659
9.0,402,947.053232
4.0,299,978.795681
5.0,352,1016.740721
1.0,153,1032.376722
1.0,153,1047.860543
1.0,171,1064.580788
0.0,129,1077.574915
0.0,129,1090.740847
0.0,129,1104.052892
1.0,175,1122.25724
0.0,129,1134.409048
2.0,220,1158.529177
4.0,301,1190.608773
2.0,203,1212.234493
3.0,270,1240.908741
0.0,127,1253.419867
3.0,248,1279.775689
1.0,175,1297.550846
2.0,190,1317.207744
1.0,157,1332.500556
0.0,129,1345.213245
1.0,175,1363.367487
3.0,250,1390.158783
1.0,173,1407.705891
4.0,301,1439.688969
3.0,272,1468.033851
1.0,173,1485.593167
3.0,268,1513.698339
5.0,350,1549.779427
0.0,127,1562.263751
1.0,152,1577.62664
0.0,123,1590.299772
2.0,202,1612.375132
3.0,252,1637.944232
3.0,252,1664.571465
0.0,127,1677.047667
0.0,127,1690.004121
3.0,250,1717.005895
2.0,225,1740.723026
6.0,398,1783.23055
0.0,129,1795.985437
2.0,202,1816.244483
1.0,155,1831.725732
0.0,129,1843.848362
5.0,349,1881.016423
1.0,171,1898.544101
0.0,129,1911.292497
0.0,127,1923.67015
4.0,299,1954.642207
1.0,175,1972.838618
1.0,154,1988.113919
0.0,129,2001.00694
0.0,127,2013.970767
7.0,325,2049.028231
2.0,199,2069.540923
3.0,238,2094.716162
4.0,304,2126.947695
1.0,155,2142.924159
2.0,204,2163.892479
2.0,202,2185.720144
0.0,127,2198.053173
3.0,248,2223.791592
1.0,175,2241.659202
0.0,125,2253.886821
0.0,127,2266.675409
5.0,352,2304.740589
4.0,297,2336.825109
1.0,175,2354.82817
9.0,404,2397.625978
0.0,125,2409.369155
0.0,127,2422.202185
8.0,373,2462.7197
0.0,127,2475.348998
4.0,317,2509.292646
5.0,329,2544.20463
2.0,223,2567.618991
0.0,125,2580.39146
0.0,127,2593.328704
3.0,268,2621.914071
0.0,125,2634.328422
0.0,127,2647.105879
1.0,157,2663.133388
0.0,127,2675.814188
0.0,129,2689.319766
1.0,175,2708.265084
0.0,129,2720.499189
0.0,127,2733.284399
0.0,127,2745.564467
1.0,157,2761.483902
1.0,157,2776.418975
0.0,129,2789.210873
0.0,127,2801.213791
4.0,275,2830.208652
0.0,129,2843.113016
1.0,174,2861.824193
1.0,173,2880.127653
1.0,173,2897.612737
0.0,129,2910.453839
1.0,155,2925.947731
1.0,157,2941.98432
2.0,202,2963.146996
0.0,125,2975.513622
2.0,202,2997.298907
0.0,123,3009.876407
1.0,157,3025.631977
