#{"t_start": 1518620742.9768188, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,237,30.3699
0.0,129,42.910471
0.0,127,55.92906
2.0,185,74.973446
0.0,125,87.229553
0.0,129,101.783643
0.0,127,114.964753
0.0,129,128.620205
1.0,155,144.732161
1.0,173,161.744539
0.0,129,174.701941
1.0,173,192.97944
1.0,155,208.922317
0.0,127,221.69431
1.0,171,239.558825
2.0,203,260.346863
3.0,253,287.519975
5.0,323,322.059468
0.0,125,334.792819
1.0,173,351.851895
0.0,129,364.658637
3.0,248,390.403492
0.0,125,402.633448
0.0,127,415.374645
2.0,202,436.246697
3.0,230,460.418448
0.0,125,472.891484
1.0,155,488.529361
0.0,125,501.182551
1.0,173,519.819171
11.0,501,574.878996
2.0,204,595.840235
2.0,220,619.083927
0.0,129,632.156708
1.0,155,648.084231
0.0,125,659.767098
1.0,159,676.040802
0.0,123,688.114495
0.0,125,700.535897
0.0,125,712.309677
3.0,272,740.556996
6.0,379,781.312574
1.0,173,798.528572
2.0,202,819.915113
2.0,202,840.313971
2.0,200,860.569766
5.0,352,898.123023
0.0,127,910.868419
0.0,129,923.827637
0.0,127,936.469549
0.0,125,948.93557
0.0,125,961.337616
1.0,157,977.440079
2.0,202,998.08841
0.0,125,1010.228226
0.0,123,1022.74889
2.0,221,1046.264286
0.0,125,1057.828749
1.0,178,1076.148421
4.0,299,1108.975873
2.0,202,1129.505073
0.0,125,1142.38019
0.0,127,1155.423507
1.0,153,1170.886027
0.0,129,1183.967095
0.0,127,1196.560693
0.0,127,1209.673856
0.0,127,1222.851835
1.0,153,1238.060541
2.0,202,1258.891093
0.0,129,1272.017152
0.0,127,1284.4498
2.0,198,1304.438042
0.0,129,1317.388364
1.0,173,1335.043331
0.0,125,1347.005686
0.0,129,1359.815238
0.0,127,1372.490788
3.0,272,1401.961433
0.0,127,1414.058473
0.0,127,1426.8519
0.0,129,1439.689983
1.0,157,1455.265357
2.0,206,1476.507695
4.0,257,1503.051388
2.0,219,1525.458055
0.0,129,1538.13365
5.0,352,1575.497104
0.0,127,1588.425266
4.0,278,1618.316543
0.0,127,1630.570088
6.0,379,1671.238634
0.0,125,1683.973993
0.0,129,1696.905174
8.0,372,1737.106908
0.0,125,1749.838044
0.0,129,1762.315427
4.0,303,1794.60973
0.0,127,1806.833158
0.0,127,1818.82325
1.0,153,1834.147579
0.0,127,1846.487968
2.0,221,1869.012689
4.0,299,1900.519643
0.0,129,1913.184879
3.0,272,1941.798728
0.0,129,1954.358273
2.0,188,1973.840378
1.0,175,1991.41861
1.0,154,2007.184784
2.0,202,2028.787374
0.0,129,2041.691522
4.0,298,2073.357311
0.0,127,2085.832073
3.0,250,2111.691302
14.0,491,2165.691516
2.0,224,2189.579849
2.0,205,2210.708405
0.0,129,2223.424787
7.0,321,2257.054336
0.0,127,2269.602089
3.0,233,2294.770661
0.0,127,2307.660448
3.0,248,2333.988239
2.0,199,2354.687557
0.0,127,2367.541205
6.0,381,2407.137552
4.0,278,2436.60308
1.0,173,2454.35054
0.0,127,2467.25176
9.0,401,2511.003016
2.0,202,2531.633827
2.0,200,2552.216488
0.0,129,2565.273241
0.0,127,2577.897636
1.0,173,2596.295613
4.0,291,2627.415098
0.0,125,2640.118412
3.0,234,2664.925145
0.0,125,2676.949987
3.0,272,2707.469199
9.0,401,2749.662297
3.0,241,2774.051579
0.0,127,2786.667463
0.0,129,2799.22827
0.0,127,2811.856413
0.0,129,2824.860812
3.0,270,2853.497179
1.0,157,2869.826421
1.0,157,2886.085327
2.0,200,2906.472943
8.0,457,2956.158649
2.0,219,2979.170355
2.0,187,2999.552611
1.0,172,3016.990823
0.0,129,3029.836073
0.0,129,3042.85163
0.0,125,3055.442415
4.0,299,3087.400856
3.0,230,3110.814294
3.0,252,3137.521675
0.0,127,3150.073241
1.0,155,3165.690094
1.0,177,3183.927345
1.0,175,3202.210361
3.0,248,3228.257996
4.0,291,3259.392869
2.0,202,3280.597766
1.0,175,3299.168827
0.0,129,3311.896114
0.0,129,3324.846191
1.0,173,3342.971129
3.0,248,3369.311958
2.0,201,3389.447931
2.0,222,3412.075649
0.0,127,3424.758016
0.0,125,3436.864632
11.0,379,3477.269718
1.0,177,3495.065496
0.0,127,3507.347399
8.0,357,3545.576876
0.0,129,3558.265676
3.0,271,3586.827391
0.0,127,3599.962734
1.0,173,3617.832099
0.0,127,3630.262255
1.0,157,3646.171225
0.0,125,3657.862881
2.0,198,3678.212358
0.0,127,3690.590776
3.0,276,3719.551774
0.0,129,3732.132851
2.0,202,3752.031139
1.0,155,3768.116821
0.0,129,3781.500341
2.0,226,3804.531587
9.0,382,3845.5597
0.0,129,3858.334986
0.0,129,3871.008943
0.0,127,3883.199466
3.0,251,3910.598792
4.0,301,3942.684211
0.0,129,3955.50485
1.0,158,3971.676844
5.0,348,4008.398576
17.0,621,4075.753533
3.0,251,4102.31962
2.0,198,4122.880686
1.0,172,4141.219704
9.0,404,4184.072541
4.0,299,4216.258729
4.0,300,4248.8225
1.0,173,4265.91237
0.0,127,4278.648557
0.0,127,4291.202434
1.0,157,4307.031271
0.0,127,4319.852426
0.0,129,4332.938612
0.0,129,4346.349943
1.0,175,4364.536299
0.0,129,4377.07992
5.0,329,4411.908522
0.0,129,4425.045518
3.0,271,4453.468789
5.0,330,4487.997252
4.0,318,4522.160649
0.0,129,4535.213982
0.0,129,4547.935668
0.0,125,4559.680699
0.0,129,4572.534322
0.0,127,4585.221023
0.0,127,4598.149335
1.0,175,4616.049557
0.0,129,4628.358373
0.0,127,4641.374439
4.0,278,4671.734068
0.0,129,4684.786482
2.0,200,4705.823663
4.0,318,4739.559804
2.0,200,4760.283805
5.0,329,4794.993256
0.0,127,4807.919493
2.0,200,4829.0217
2.0,198,4848.966813
5.0,350,4886.14235
0.0,127,4898.167964
0.0,127,4911.048673
0.0,129,4923.911819
4.0,318,4958.324047
4.0,299,4989.577444
0.0,129,5001.856387
3.0,272,5030.140605
10.0,433,5076.891601
4.0,297,5107.754023
0.0,129,5120.347539
5.0,350,5158.235377
0.0,129,5170.680202
4.0,297,5202.708901
0.0,123,5214.580874
0.0,127,5227.279181
0.0,127,5240.144179
0.0,127,5252.870047
0.0,129,5265.534739
0.0,125,5277.329236
2.0,202,5298.443571
0.0,127,5310.750608
0.0,129,5323.250151
1.0,157,5339.109187
6.0,400,5382.113865
2.0,202,5401.883791
0.0,129,5414.462502
1.0,155,5430.214246
5.0,352,5467.886357
2.0,204,5489.176903
0.0,127,5501.865598
3.0,248,5527.75939
4.0,301,5559.514625
