#{"t_start": 1518620743.9962988, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,17.084951
0.0,127,30.322521
1.0,155,45.186283
2.0,206,67.140576
0.0,125,79.526966
0.0,125,92.912044
0.0,129,106.964087
0.0,127,119.971137
0.0,129,133.558223
3.0,216,155.443625
2.0,184,174.173358
1.0,155,190.443453
1.0,175,208.510331
2.0,225,232.765615
1.0,175,250.628285
0.0,127,263.427402
2.0,203,284.532492
2.0,185,303.734816
0.0,127,316.333366
0.0,127,329.211452
0.0,127,341.883322
2.0,202,362.799999
5.0,352,399.377874
2.0,200,420.188927
0.0,125,432.882857
2.0,224,456.433691
2.0,182,474.746575
0.0,127,487.554832
0.0,125,500.283221
0.0,127,513.593246
0.0,127,526.339467
0.0,125,539.791353
1.0,157,555.566283
1.0,173,573.060754
1.0,159,589.472139
2.0,202,610.359243
1.0,157,626.269552
1.0,177,644.869591
0.0,129,657.174917
2.0,204,678.471854
2.0,201,699.079486
0.0,129,711.378785
0.0,127,723.757289
0.0,127,736.156263
0.0,127,748.358662
3.0,248,774.837451
0.0,127,787.025233
0.0,127,799.527542
5.0,372,839.305137
6.0,362,877.491341
0.0,125,889.695694
1.0,169,907.107028
1.0,155,923.134584
2.0,222,946.558317
2.0,224,969.855909
0.0,123,982.488207
0.0,127,994.610424
4.0,319,1028.557396
2.0,203,1049.124106
0.0,127,1061.940972
2.0,202,1083.302988
1.0,173,1101.255385
2.0,206,1122.983119
1.0,173,1141.157633
6.0,400,1184.140651
0.0,125,1197.090046
0.0,129,1209.972161
1.0,170,1227.839632
4.0,301,1260.158674
3.0,251,1286.220245
4.0,323,1320.926382
1.0,157,1336.443938
1.0,155,1352.424455
0.0,127,1364.322489
3.0,252,1391.714853
2.0,223,1414.865533
0.0,127,1427.071526
0.0,127,1439.730669
1.0,173,1457.411357
1.0,176,1475.144937
0.0,125,1487.454873
1.0,154,1502.506296
2.0,203,1523.162969
1.0,173,1540.72905
0.0,129,1553.398131
3.0,228,1577.111187
0.0,125,1589.832306
0.0,129,1602.773758
0.0,127,1615.634508
2.0,192,1635.294709
0.0,129,1647.539621
1.0,173,1665.506251
0.0,129,1678.536416
2.0,198,1699.532284
0.0,129,1712.749463
1.0,174,1730.627939
3.0,250,1756.810567
2.0,223,1780.442016
0.0,127,1792.304957
4.0,301,1823.671502
0.0,129,1836.209092
3.0,252,1861.976356
2.0,204,1883.353918
1.0,172,1900.936296
3.0,248,1927.029257
2.0,224,1950.253926
1.0,175,1967.620415
1.0,155,1983.352368
0.0,129,1995.873876
0.0,127,2008.696844
0.0,125,2021.550006
1.0,157,2037.527696
0.0,129,2050.516492
2.0,223,2073.859991
4.0,323,2107.698922
5.0,332,2144.178713
3.0,272,2172.389739
3.0,270,2201.650551
2.0,201,2222.317173
2.0,217,2244.349433
0.0,129,2256.857219
1.0,157,2272.997762
0.0,125,2285.997794
0.0,127,2298.843074
1.0,155,2314.684227
0.0,123,2327.274713
0.0,129,2340.333062
0.0,125,2352.241199
4.0,281,2381.333968
0.0,127,2393.917382
6.0,376,2434.107322
2.0,206,2455.711275
1.0,173,2473.78627
2.0,200,2495.056023
0.0,127,2507.425787
1.0,176,2524.982548
1.0,173,2542.773272
0.0,129,2555.807329
4.0,301,2588.390223
3.0,234,2613.280874
0.0,125,2625.683893
3.0,275,2654.832012
0.0,125,2667.753535
3.0,230,2692.453341
8.0,369,2732.578148
3.0,268,2760.119967
6.0,380,2799.921213
0.0,125,2811.706638
4.0,299,2843.754615
8.0,458,2894.345387
4.0,301,2926.043675
1.0,173,2944.155229
1.0,157,2960.293265
2.0,202,2980.983216
0.0,129,2994.265589
1.0,155,3010.584911
1.0,173,3028.436597
1.0,172,3046.49309
0.0,127,3059.175877
1.0,173,3077.326844
0.0,127,3089.39569
1.0,173,3106.905332
0.0,127,3119.741083
2.0,220,3142.02763
1.0,157,3158.605443
1.0,175,3175.913455
0.0,127,3188.868786
1.0,172,3206.546871
2.0,185,3225.637954
0.0,129,3238.561146
3.0,227,3261.886517
1.0,173,3280.521384
0.0,127,3293.495749
5.0,349,3331.469321
0.0,129,3344.619359
0.0,127,3356.964948
1.0,153,3372.459515
2.0,223,3395.171051
1.0,173,3412.852725
3.0,226,3435.849764
3.0,272,3464.207657
2.0,224,3487.426611
4.0,296,3518.502641
0.0,127,3531.403401
3.0,232,3554.986296
1.0,155,3570.389363
1.0,172,3588.637009
5.0,329,3623.996782
0.0,127,3637.222761
1.0,175,3654.150671
3.0,274,3682.477769
2.0,200,3702.684689
0.0,129,3715.689153
1.0,171,3732.445963
3.0,251,3758.800861
0.0,127,3771.288172
0.0,127,3784.440877
4.0,303,3816.445361
0.0,127,3828.751261
4.0,301,3860.55691
0.0,125,3872.769788
0.0,129,3885.891059
0.0,129,3899.081611
4.0,285,3929.089728
5.0,350,3967.116983
5.0,350,4004.200832
