#{"t_start": 1518616763.867123, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,123,42.921188
1.0,151,96.338638
1.0,172,150.589874
2.0,202,216.477212
1.0,155,265.643496
2.0,226,339.123446
1.0,175,396.834448
2.0,205,462.669068
1.0,175,517.698626
0.0,127,557.184149
1.0,171,611.359371
2.0,200,677.767339
0.0,127,717.063206
4.0,301,815.485209
0.0,127,854.92358
0.0,127,900.655923
0.0,123,939.117059
0.0,125,977.489635
0.0,127,1017.117837
0.0,129,1056.834549
1.0,155,1104.969186
1.0,173,1160.216476
1.0,175,1215.865455
3.0,254,1298.251244
0.0,127,1337.018158
0.0,127,1374.704782
2.0,204,1439.452865
1.0,155,1489.059506
1.0,157,1537.418802
0.0,129,1576.77346
0.0,123,1614.210313
1.0,157,1663.93433
1.0,153,1711.080099
2.0,222,1783.728525
5.0,351,1899.031291
1.0,172,1953.531492
1.0,153,2002.172784
0.0,127,2040.221288
0.0,129,2079.746428
0.0,129,2119.282818
0.0,129,2158.502004
5.0,309,2267.056295
0.0,127,2307.393732
0.0,129,2348.010612
0.0,127,2388.465307
0.0,127,2427.666905
5.0,331,2539.689348
1.0,170,2594.237434
2.0,202,2660.159343
0.0,125,2700.285044
1.0,176,2756.857937
1.0,173,2812.83291
0.0,127,2851.483915
1.0,177,2908.788623
5.0,323,3027.615952
1.0,176,3090.880229
0.0,125,3135.299992
1.0,177,3198.048813
2.0,202,3268.63774
1.0,175,3325.95462
3.0,230,3401.931031
2.0,200,3466.654279
0.0,127,3506.926566
0.0,127,3545.968073
2.0,221,3621.174077
1.0,173,3681.099556
3.0,268,3781.185033
6.0,277,3876.028738
4.0,277,3976.533334
0.0,127,4035.308488
0.0,123,4095.357989
1.0,176,4180.491991
2.0,201,4280.052883
0.0,127,4338.339839
1.0,154,4410.762958
2.0,205,4512.253666
0.0,129,4572.15161
1.0,153,4643.740278
4.0,263,4773.895458
0.0,127,4833.079334
0.0,127,4890.613991
1.0,171,4973.760577
0.0,125,5031.335082
2.0,185,5121.539744
0.0,127,5181.591567
2.0,201,5278.249421
2.0,200,5374.940691
2.0,199,5471.488462
1.0,173,5555.071868
2.0,182,5642.845535
1.0,173,5726.187574
2.0,220,5833.928581
3.0,248,5956.673233
0.0,129,6017.247136
0.0,129,6077.025042
2.0,202,6174.378224
0.0,127,6234.287257
1.0,155,6307.747331
3.0,252,6432.977675
3.0,248,6554.527477
4.0,299,6702.874136
0.0,129,6762.893762
0.0,125,6822.310326
1.0,153,6893.416685
0.0,127,6953.157708
0.0,129,7013.521929
2.0,202,7113.160922
0.0,125,7170.533447
0.0,129,7230.999958
4.0,297,7378.196656
0.0,129,7438.501345
5.0,369,7623.204843
2.0,202,7722.669738
2.0,202,7821.105862
4.0,297,7968.693233
2.0,221,8078.528853
1.0,176,8162.811337
2.0,224,8273.394315
0.0,127,8334.111243
0.0,125,8393.051809
2.0,224,8503.571562
2.0,221,8611.651196
1.0,175,8695.841985
3.0,234,8811.166016
0.0,125,8871.209869
1.0,169,8952.867882
1.0,154,9026.050881
2.0,218,9131.334608
1.0,175,9216.187527
0.0,125,9273.411593
3.0,227,9383.055928
0.0,129,9443.117644
0.0,129,9503.198133
4.0,249,9626.726339
1.0,173,9710.364097
1.0,174,9794.136616
2.0,202,9892.990296
0.0,129,9953.78299
3.0,272,10088.370075
1.0,157,10164.065878
0.0,129,10224.33626
4.0,298,10372.741731
0.0,127,10431.045186
0.0,125,10490.613559
1.0,175,10574.138406
2.0,202,10671.550037
1.0,178,10758.391263
0.0,127,10817.726091
3.0,232,10931.880578
0.0,127,10992.398626
2.0,188,11083.421884
1.0,173,11167.708162
2.0,198,11263.213761
0.0,127,11323.134965
0.0,127,11383.332611
0.0,127,11441.622409
0.0,127,11501.600837
1.0,174,11585.476235
0.0,125,11643.854759
3.0,250,11768.876294
5.0,329,11934.921353
0.0,125,11993.355661
3.0,251,12119.292613
0.0,127,12177.871153
1.0,173,12261.528436
1.0,173,12345.834597
1.0,173,12428.19466
3.0,252,12551.132812
0.0,127,12610.988377
4.0,302,12761.56444
3.0,248,12882.086688
4.0,275,13020.316766
0.0,129,13080.072245
4.0,301,13229.445749
2.0,184,13318.577193
0.0,127,13378.02218
2.0,204,13478.375872
0.0,127,13536.348506
0.0,125,13594.400978
0.0,129,13654.430011
5.0,333,13822.216415
1.0,175,13906.856881
0.0,129,13967.266735
5.0,352,14145.951671
4.0,305,14297.792444
0.0,125,14355.47112
2.0,201,14454.838137
0.0,129,14514.630988
0.0,127,14571.98953
1.0,155,14647.364744
0.0,125,14705.645784
0.0,127,14763.857429
0.0,127,14823.961846
2.0,221,14931.999972
0.0,129,14992.573215
2.0,223,15102.863203
3.0,248,15225.470652
4.0,289,15369.440547
2.0,223,15480.070413
6.0,380,15672.532534
1.0,172,15755.927609
2.0,202,15852.830433
0.0,127,15912.63356
1.0,155,15986.866992
2.0,183,16075.481978
0.0,129,16135.780117
2.0,224,16246.970292
1.0,173,16330.05697
0.0,127,16388.104762
1.0,176,16474.258583
1.0,173,16555.899091
0.0,129,16616.046009
0.0,127,16676.089079
1.0,175,16760.102555
0.0,125,16818.154836
2.0,200,16916.927301
0.0,123,16972.944256
1.0,173,17056.844293
0.0,127,17116.848176
1.0,155,17190.383406
0.0,127,17250.476394
1.0,172,17333.015103
0.0,125,17391.097907
1.0,157,17467.061036
0.0,127,17527.319687
1.0,157,17601.235063
3.0,251,17727.892722
2.0,203,17825.60495
2.0,224,17935.531061
0.0,127,17995.343588
1.0,175,18079.577151
3.0,272,18215.320426
1.0,155,18289.481132
2.0,200,18387.821538
1.0,173,18471.172837
0.0,127,18531.2125
1.0,157,18605.017942
2.0,200,18702.598374
0.0,125,18761.930549
0.0,129,18821.995614
0.0,127,18880.080716
3.0,232,18995.19543
2.0,204,19094.757115
0.0,129,19155.345199
4.0,280,19295.766504
0.0,127,19355.835696
7.0,324,19518.790724
1.0,173,19600.224847
3.0,256,19727.693812
5.0,350,19903.681849
4.0,299,20052.375161
0.0,127,20111.767955
2.0,202,20208.727498
0.0,129,20268.807484
2.0,202,20368.398772
11.0,465,20605.5347
5.0,329,20770.124177
0.0,127,20830.083358
10.0,431,21046.252792
0.0,127,21106.177893
0.0,127,21164.049729
4.0,322,21325.217993
2.0,200,21421.2257
0.0,127,21481.306671
5.0,329,21645.879658
1.0,173,21727.46405
0.0,127,21786.657188
3.0,271,21920.594671
10.0,429,22138.787605
0.0,129,22199.820346
0.0,129,22260.005893
0.0,127,22320.331356
1.0,170,22402.132856
2.0,202,22501.225664
1.0,172,22583.284537
0.0,127,22644.021043
1.0,175,22728.163568
2.0,200,22825.142762
0.0,125,22884.85887
1.0,177,22969.06005
0.0,125,23026.74564
0.0,127,23086.716532
0.0,129,23147.08886
0.0,129,23206.872795
1.0,173,23290.666523
5.0,350,23465.371632
0.0,129,23525.14277
0.0,123,23582.339615
0.0,127,23639.861001
0.0,127,23699.780699
1.0,157,23775.615226
3.0,246,23897.381467
6.0,378,24088.696274
0.0,127,24146.678677
0.0,127,24206.765937
0.0,123,24265.012615
1.0,175,24349.488711
2.0,200,24447.363995
3.0,230,24560.470274
0.0,129,24620.961917
0.0,127,24680.762068
0.0,129,24741.110146
13.0,478,24984.257289
2.0,200,25081.462473
6.0,379,25272.391636
0.0,129,25333.554857
2.0,204,25433.628916
0.0,127,25493.644258
0.0,127,25551.744921
0.0,129,25612.124372
3.0,248,25735.759459
0.0,129,25796.35962
3.0,248,25919.906222
0.0,125,25977.946193
8.0,377,26169.235151
2.0,198,26263.924332
0.0,129,26324.313336
2.0,200,26423.254264
10.0,433,26641.967003
0.0,127,26702.230356
1.0,157,26778.789795
1.0,171,26860.561626
0.0,125,26918.508032
1.0,176,27004.457943
2.0,221,27113.481212
2.0,202,27213.468073
1.0,173,27295.155174
4.0,299,27444.666582
2.0,202,27544.467354
7.0,408,27751.36396
0.0,127,27808.936575
0.0,127,27868.805934
0.0,127,27928.373936
0.0,125,27986.420582
0.0,129,28047.3295
0.0,129,28107.667469
5.0,331,28272.484842
1.0,173,28357.449272
3.0,248,28480.226173
0.0,125,28538.47755
0.0,129,28597.76061
0.0,129,28658.387076
4.0,280,28798.689611
0.0,129,28859.940442
4.0,299,29009.739163
3.0,248,29133.597685
10.0,433,29356.811801
2.0,192,29448.490579
2.0,202,29547.979567
0.0,129,29608.191304
0.0,129,29668.131258
3.0,248,29792.013608
3.0,250,29915.912562
0.0,127,29976.32153
2.0,200,30074.14442
5.0,350,30249.751382
2.0,202,30348.563384
1.0,157,30422.0074
2.0,200,30519.12848
0.0,125,30578.751898
1.0,175,30662.428844
7.0,448,30890.656804
0.0,127,30949.265075
0.0,125,31006.914689
0.0,127,31066.585606
7.0,432,31288.199902
2.0,202,31387.065574
2.0,202,31488.049593
9.0,404,31693.493328
0.0,127,31752.278226
4.0,319,31914.080829
0.0,127,31974.828374
1.0,155,32048.256444
1.0,173,32132.654337
2.0,200,32229.912994
0.0,127,32289.360283
0.0,129,32350.408617
2.0,198,32447.251247
2.0,202,32544.76394
0.0,129,32604.961466
0.0,129,32665.976331
0.0,127,32726.309629
0.0,127,32784.546229
0.0,129,32845.159506
0.0,127,32905.130831
4.0,297,33055.17928
5.0,331,33220.867358
2.0,202,33320.639515
0.0,129,33380.977361
2.0,202,33478.261117
4.0,297,33629.0317
0.0,129,33688.951871
0.0,129,33748.867831
10.0,433,33969.463516
8.0,376,34159.101962
2.0,202,34258.950216
1.0,178,34343.33971
0.0,127,34403.217994
2.0,202,34502.809426
0.0,127,34561.282385
0.0,129,34623.4128
0.0,129,34683.559798
0.0,127,34742.865642
4.0,297,34889.744055
0.0,129,34949.419322
4.0,278,35088.774719
5.0,372,35279.366296
3.0,246,35401.796448
0.0,125,35459.744048
2.0,198,35557.036929
4.0,297,35705.172615
2.0,202,35802.930106
0.0,127,35862.71367
0.0,127,35922.585179
0.0,129,35983.056195
0.0,129,36042.840278
2.0,202,36140.600233
0.0,127,36200.953235
5.0,350,36376.520189
3.0,248,36499.413595
0.0,127,36556.932985
1.0,172,36640.085695
10.0,412,36848.928931
10.0,433,37065.257729
2.0,224,37175.277908
2.0,200,37274.426951
0.0,129,37334.877245
2.0,202,37431.079109
2.0,198,37527.278444
0.0,127,37587.166358
9.0,404,37790.8651
5.0,350,37966.212917
0.0,127,38024.264975
0.0,127,38084.232281
0.0,129,38144.479135
0.0,129,38204.566337
1.0,157,38279.940275
0.0,129,38340.032087
2.0,200,38436.564891
0.0,129,38496.779817
0.0,129,38556.766144
2.0,200,38653.76493
0.0,127,38713.682856
0.0,129,38774.0818
5.0,350,38949.38712
0.0,127,39007.440114
5.0,350,39184.523257
0.0,125,39242.930078
10.0,452,39471.748281
3.0,248,39595.578396
0.0,129,39656.442698
0.0,125,39713.978074
0.0,127,39773.90759
1.0,175,39857.376529
5.0,350,40032.435816
0.0,127,40092.478876
6.0,401,40294.835587
2.0,202,40394.560019
0.0,129,40455.665783
3.0,248,40578.965986
0.0,127,40637.086908
0.0,127,40696.430288
0.0,129,40756.979503
3.0,246,40878.546667
0.0,129,40938.544809
4.0,319,41098.554563
2.0,202,41198.23556
1.0,170,41279.836246
5.0,330,41445.19958
2.0,202,41544.748338
4.0,301,41694.641757
0.0,127,41754.272102
4.0,299,41903.718901
1.0,173,41987.763882
3.0,248,42111.257425
0.0,127,42168.69959
3.0,250,42293.99909
1.0,170,42376.860666
1.0,153,42448.451155
0.0,127,42508.260377
2.0,200,42605.812745
0.0,127,42665.524268
0.0,125,42723.855967
0.0,127,42783.439846
2.0,200,42879.958697
5.0,346,43053.137815
0.0,129,43113.017731
3.0,248,43236.236625
1.0,173,43319.834311
0.0,129,43380.406001
0.0,127,43438.223682
0.0,127,43497.681848
5.0,328,43662.845837
2.0,202,43760.354
2.0,200,43859.676283
5.0,350,44036.059397
2.0,221,44143.761738
2.0,202,44243.163991
2.0,198,44340.687491
0.0,127,44399.192053
0.0,127,44458.955905
0.0,127,44516.478181
5.0,350,44694.593512
0.0,127,44752.600276
0.0,125,44810.413136
4.0,280,44950.364368
5.0,350,45126.355933
2.0,202,45223.715279
2.0,202,45322.677407
0.0,127,45382.582847
6.0,396,45582.660728
1.0,175,45667.10127
5.0,349,45842.997052
10.0,427,46060.68941
0.0,127,46118.512459
2.0,200,46217.893306
5.0,371,46404.947363
0.0,129,46465.456723
6.0,360,46647.427364
4.0,319,46807.505117
0.0,125,46865.619963
0.0,129,46925.848663
9.0,382,47121.163731
4.0,275,47257.774671
0.0,129,47317.606253
0.0,127,47377.815383
2.0,202,47475.726443
0.0,129,47535.401161
0.0,129,47595.336323
2.0,202,47694.490882
9.0,387,47890.518674
0.0,129,47950.46412
0.0,127,48008.586114
0.0,125,48066.233541
3.0,249,48189.387473
1.0,175,48276.411932
5.0,328,48439.96031
4.0,319,48599.632348
0.0,127,48659.500216
2.0,200,48755.989
7.0,451,48986.24327
2.0,198,49081.333903
4.0,318,49241.782238
2.0,202,49341.403685
4.0,297,49489.001782
2.0,224,49599.745745
1.0,155,49674.940694
3.0,228,49786.111461
0.0,129,49846.918776
0.0,127,49907.34167
0.0,127,49967.714833
2.0,202,50065.701212
0.0,125,50123.944276
5.0,326,50287.763459
5.0,352,50463.780221
0.0,129,50524.157281
3.0,248,50646.709317
0.0,129,50707.475414
0.0,127,50768.745831
1.0,159,50844.758269
1.0,177,50929.38104
1.0,174,51013.423263
2.0,188,51105.090945
1.0,178,51192.528139
2.0,206,51292.374218
4.0,286,51436.954617
1.0,175,51521.303769
0.0,129,51581.842269
2.0,204,51682.34543
3.0,255,51808.001875
4.0,301,51960.808524
0.0,129,52021.663119
0.0,129,52082.005656
3.0,248,52204.202529
10.0,434,52426.085509
3.0,252,52552.026724
1.0,176,52637.040547
4.0,321,52801.667774
6.0,357,52982.408762
10.0,468,53221.647718
5.0,350,53400.498287
3.0,250,53526.892107
6.0,399,53729.698194
1.0,174,53813.737131
2.0,198,53909.568868
1.0,155,53985.799895
3.0,246,54106.01214
1.0,155,54180.118724
10.0,452,54410.782133
4.0,259,54540.358814
2.0,186,54630.053727
2.0,222,54740.413127
1.0,153,54814.840955
0.0,127,54872.965917
4.0,301,55025.577437
5.0,352,55201.638207
0.0,127,55261.738792
4.0,299,55412.410201
0.0,127,55470.462176
4.0,319,55633.543283
0.0,127,55695.893812
1.0,175,55780.621806
0.0,129,55841.251081
6.0,344,56016.321233
3.0,251,56141.470277
1.0,155,56214.854103
5.0,350,56392.949026
2.0,183,56482.110657
2.0,225,56593.391585
0.0,127,56654.264403
6.0,395,56854.175678
10.0,452,57085.630702
16.0,530,57359.205264
6.0,382,57551.252472
1.0,157,57628.344767
1.0,155,57703.154633
3.0,214,57808.65804
1.0,178,57895.560745
5.0,312,58051.266733
10.0,432,58271.916946
0.0,129,58333.419346
3.0,248,58457.264244
5.0,311,58614.049245
3.0,248,58738.091671
0.0,129,58798.700516
5.0,350,58975.434057
1.0,174,59060.138944
3.0,246,59182.638047
6.0,397,59383.621164
1.0,155,59457.725878
2.0,217,59565.178891
3.0,250,59688.690622
3.0,229,59802.211328
4.0,279,59942.108119
0.0,125,60000.593273
8.0,452,60234.982485
1.0,155,60308.694502
2.0,182,60398.072023
4.0,277,60536.151815
2.0,184,60626.457291
1.0,157,60702.658937
1.0,176,60788.030634
