#{"t_start": 1518616763.960703, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,202,74.404164
1.0,155,124.192041
7.0,326,233.968281
5.0,352,351.192344
0.0,129,391.735374
2.0,202,457.486928
0.0,129,496.810513
5.0,310,599.269873
1.0,157,651.948282
2.0,199,715.207779
2.0,205,780.692155
1.0,178,837.626296
1.0,172,898.657675
0.0,125,937.354124
0.0,127,977.251739
2.0,190,1038.042836
2.0,224,1110.051577
0.0,127,1149.502368
4.0,296,1246.828683
0.0,129,1286.196189
3.0,214,1354.170269
1.0,178,1410.160249
0.0,125,1448.00464
1.0,153,1496.012833
0.0,127,1535.387957
1.0,155,1583.311765
1.0,155,1631.652553
0.0,127,1670.704053
0.0,129,1710.685185
1.0,155,1759.28855
1.0,157,1807.922594
0.0,129,1847.169495
0.0,127,1886.620655
2.0,202,1951.557459
3.0,248,2031.55636
0.0,129,2071.017592
0.0,127,2110.507034
2.0,228,2187.478056
0.0,129,2229.625485
2.0,203,2296.432114
1.0,155,2346.072071
0.0,129,2386.688938
1.0,157,2436.428187
0.0,129,2476.782014
0.0,127,2516.976161
1.0,176,2573.108154
1.0,173,2629.584213
0.0,127,2670.457467
0.0,127,2709.397171
0.0,129,2749.847316
0.0,127,2790.479359
4.0,299,2889.678808
1.0,173,2947.460636
1.0,155,3001.602696
0.0,127,3046.840092
4.0,301,3159.457647
1.0,155,3213.656164
0.0,125,3254.790542
2.0,202,3322.398135
0.0,129,3362.945073
0.0,125,3401.928543
0.0,127,3441.696722
1.0,170,3496.392055
0.0,127,3536.784452
2.0,200,3602.655945
0.0,129,3644.824345
2.0,201,3718.101816
6.0,398,3861.93979
0.0,129,3903.552753
3.0,275,4013.914365
2.0,188,4108.708876
1.0,157,4185.310242
0.0,127,4243.607593
3.0,248,4366.607321
2.0,201,4462.863669
2.0,186,4554.211325
1.0,171,4635.628689
0.0,127,4695.482812
2.0,185,4783.962234
2.0,199,4879.865813
3.0,231,4992.342007
0.0,129,5052.541539
0.0,127,5113.508636
2.0,225,5223.384937
2.0,221,5332.617246
0.0,127,5390.152939
2.0,184,5478.991357
0.0,125,5536.934108
2.0,219,5643.182528
0.0,125,5702.775495
3.0,252,5826.149941
0.0,125,5884.158732
4.0,322,6046.479787
1.0,157,6121.660026
1.0,153,6192.585732
1.0,173,6276.501529
0.0,129,6336.789326
2.0,203,6435.884703
2.0,202,6535.800338
1.0,173,6616.815001
2.0,202,6715.466818
2.0,223,6824.977098
1.0,156,6898.42181
0.0,127,6958.248278
0.0,129,7018.611069
5.0,350,7194.349411
1.0,173,7277.594861
9.0,382,7470.253291
0.0,125,7529.113418
3.0,250,7651.846174
1.0,170,7733.169899
1.0,176,7816.598897
