#{"t_start": 1518616763.8789754, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,44.671229
2.0,186,108.774458
0.0,127,148.762286
1.0,173,204.150022
1.0,155,253.429768
1.0,171,307.463092
0.0,129,347.846151
1.0,174,404.091725
0.0,127,443.773347
1.0,157,493.39658
0.0,127,531.573829
0.0,125,570.149213
0.0,127,609.619972
0.0,129,652.175901
0.0,127,691.094957
0.0,125,729.019434
0.0,129,768.702732
1.0,178,825.632882
0.0,127,864.216612
3.0,248,952.811929
3.0,217,1023.966714
1.0,173,1077.625532
4.0,281,1170.533111
2.0,224,1243.286326
0.0,127,1281.172561
1.0,155,1330.180957
0.0,129,1369.293668
1.0,173,1422.327296
1.0,176,1478.84163
5.0,337,1588.684526
0.0,129,1628.458531
1.0,176,1685.008327
2.0,223,1757.452448
3.0,273,1845.541661
0.0,127,1884.951743
1.0,170,1938.361566
4.0,302,2038.304883
0.0,125,2076.072428
0.0,129,2115.715349
1.0,175,2170.551649
1.0,157,2226.258161
0.0,125,2265.160908
2.0,199,2330.413646
0.0,129,2370.972962
0.0,125,2409.773813
0.0,127,2450.759258
1.0,159,2501.282938
0.0,127,2539.995276
0.0,125,2580.057126
5.0,347,2696.924384
1.0,153,2746.274629
0.0,127,2786.792016
0.0,127,2824.994987
0.0,127,2865.246501
0.0,129,2905.136355
1.0,173,2965.372064
0.0,127,3007.114357
4.0,304,3124.080832
2.0,202,3196.153709
1.0,151,3247.545381
5.0,311,3354.027436
0.0,127,3393.14936
2.0,204,3459.607283
3.0,271,3550.870984
0.0,127,3589.662559
4.0,279,3688.911519
4.0,299,3801.386662
1.0,174,3858.452851
4.0,281,3958.52071
1.0,175,4037.640639
4.0,319,4201.159497
4.0,301,4351.335789
1.0,174,4433.892166
0.0,127,4494.039726
0.0,127,4552.054131
1.0,175,4637.96855
1.0,171,4719.280741
1.0,173,4801.828182
1.0,172,4882.946851
0.0,125,4942.399204
2.0,198,5036.914867
2.0,203,5137.331792
0.0,127,5197.171306
0.0,125,5254.74461
2.0,203,5353.687982
4.0,263,5484.077956
1.0,173,5565.46226
2.0,206,5666.372541
1.0,153,5739.482278
1.0,157,5813.113839
0.0,129,5873.587921
5.0,349,6049.247417
3.0,252,6174.062316
4.0,293,6320.453847
0.0,127,6378.980685
2.0,220,6486.195387
2.0,208,6588.284658
0.0,129,6647.858739
2.0,224,6757.514465
2.0,182,6845.586459
4.0,301,6995.249147
3.0,250,7119.040196
1.0,173,7202.354682
0.0,127,7262.196881
2.0,222,7370.206993
0.0,127,7430.367641
1.0,174,7514.052867
4.0,259,7641.71228
0.0,127,7701.053381
0.0,125,7758.836283
1.0,155,7831.869223
1.0,175,7916.323735
2.0,204,8015.80248
4.0,301,8167.787721
1.0,173,8249.915189
3.0,271,8387.867794
0.0,129,8448.135018
0.0,125,8506.367368
1.0,157,8582.436768
1.0,155,8655.803553
1.0,173,8739.830083
1.0,173,8821.959924
0.0,127,8882.053792
2.0,220,8989.885101
0.0,123,9047.159741
1.0,171,9128.605693
0.0,127,9187.919251
1.0,170,9268.285303
3.0,251,9393.130292
3.0,250,9515.746195
4.0,302,9666.107967
7.0,303,9817.723797
0.0,129,9877.797787
3.0,251,10003.64585
2.0,201,10101.029249
0.0,127,10161.08943
2.0,224,10270.592743
3.0,252,10394.262304
3.0,272,10529.889028
0.0,125,10587.239944
2.0,201,10684.655054
2.0,186,10776.368377
0.0,125,10833.809734
4.0,299,10984.458972
0.0,129,11044.74186
0.0,129,11104.681994
1.0,175,11189.308312
2.0,181,11278.429886
0.0,129,11338.704894
1.0,173,11420.717129
2.0,202,11519.686516
5.0,327,11686.080063
1.0,173,11769.038076
14.0,505,12029.796154
2.0,186,12119.452176
1.0,173,12203.669051
2.0,204,12303.806046
10.0,387,12496.111502
0.0,127,12556.007374
2.0,207,12657.314003
2.0,200,12753.918131
1.0,175,12837.335535
1.0,173,12920.603319
9.0,405,13125.091857
2.0,220,13232.285727
2.0,201,13331.334623
1.0,176,13415.710375
0.0,129,13475.980993
2.0,202,13575.420552
