#{"t_start": 1518616763.8982255, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,44.842513
1.0,157,99.930064
3.0,268,188.482447
2.0,224,262.098692
2.0,202,326.600205
0.0,129,367.178569
3.0,250,450.494834
1.0,157,498.778347
0.0,125,536.780735
3.0,274,627.113277
3.0,252,711.978549
0.0,127,751.198991
3.0,270,839.432734
2.0,222,918.180205
1.0,157,968.762735
0.0,129,1008.380925
1.0,155,1056.896586
0.0,129,1096.342978
1.0,157,1146.085745
3.0,251,1227.916975
1.0,175,1282.906041
1.0,176,1338.729403
0.0,127,1376.385985
1.0,173,1430.755434
1.0,154,1478.976654
2.0,200,1542.661138
4.0,282,1635.086624
0.0,127,1674.256469
1.0,176,1729.948765
2.0,202,1795.560671
0.0,127,1833.466315
1.0,172,1888.321033
2.0,202,1951.914775
0.0,129,1991.76142
0.0,127,2031.458734
5.0,326,2137.884431
1.0,178,2199.995339
2.0,203,2266.867348
2.0,204,2334.014524
4.0,298,2434.462172
1.0,155,2483.72745
3.0,252,2567.501551
1.0,174,2624.13865
0.0,127,2663.658226
0.0,123,2702.203202
2.0,203,2769.068098
0.0,127,2807.897161
0.0,129,2848.015312
4.0,322,2959.970093
0.0,127,3003.25643
2.0,187,3070.934681
1.0,155,3128.010755
1.0,175,3190.255329
2.0,224,3268.609271
3.0,230,3345.16271
0.0,129,3385.777939
1.0,173,3441.662991
1.0,176,3498.208805
0.0,127,3538.666615
0.0,125,3577.389319
3.0,248,3663.996722
2.0,201,3738.612201
0.0,129,3782.902846
4.0,299,3885.311057
1.0,155,3937.630555
0.0,125,3982.051458
1.0,154,4057.219737
0.0,125,4118.67187
0.0,129,4179.913105
1.0,171,4261.656869
0.0,127,4322.038761
0.0,123,4377.217679
2.0,184,4465.680075
0.0,125,4525.426448
0.0,127,4582.925881
0.0,123,4640.848058
1.0,170,4722.09556
2.0,202,4820.23068
0.0,123,4877.081313
0.0,125,4934.749812
0.0,127,4992.397602
1.0,171,5076.219062
2.0,207,5176.705286
0.0,127,5236.466584
2.0,206,5335.858515
0.0,129,5395.628892
2.0,203,5495.041284
2.0,223,5603.654206
1.0,157,5679.379279
1.0,155,5752.818824
0.0,127,5810.650817
3.0,252,5936.190703
0.0,125,5994.130425
1.0,175,6077.574863
1.0,175,6163.624155
0.0,123,6218.688654
0.0,127,6279.091033
0.0,125,6336.850805
1.0,173,6420.129588
3.0,268,6554.115101
0.0,127,6611.635335
1.0,173,6694.856508
1.0,158,6770.374507
1.0,178,6855.950041
0.0,125,6914.126869
1.0,173,6997.706136
1.0,175,7081.529608
0.0,129,7141.894259
1.0,171,7223.337796
1.0,153,7296.481497
2.0,220,7404.279969
1.0,157,7480.404351
0.0,127,7539.761459
0.0,127,7597.074692
4.0,279,7735.918393
2.0,201,7834.28372
0.0,129,7894.724745
0.0,129,7955.329149
3.0,251,8078.815973
2.0,200,8176.105573
0.0,123,8233.74562
1.0,173,8318.015323
1.0,173,8403.192087
3.0,219,8511.22481
1.0,174,8595.243744
0.0,129,8655.640685
1.0,176,8740.143363
0.0,125,8797.799473
0.0,127,8858.108081
1.0,153,8931.557689
5.0,349,9106.770715
3.0,252,9229.623221
0.0,129,9289.536774
2.0,198,9385.450904
1.0,171,9466.739192
0.0,123,9523.946783
1.0,155,9597.451077
0.0,125,9657.494757
4.0,276,9793.992094
3.0,252,9919.447323
0.0,129,9979.980041
0.0,127,10038.343005
3.0,251,10163.783144
2.0,221,10270.89706
1.0,155,10344.304832
0.0,127,10404.506196
0.0,129,10464.628596
0.0,123,10521.886422
2.0,200,10618.507843
2.0,200,10715.63085
0.0,127,10776.22118
1.0,173,10858.189683
2.0,202,10958.047339
0.0,125,11015.920089
2.0,202,11114.982482
1.0,173,11199.241215
2.0,205,11299.670541
1.0,176,11383.729158
1.0,174,11467.864949
0.0,127,11527.292828
1.0,152,11599.238723
1.0,173,11683.829899
0.0,125,11742.494934
1.0,175,11829.365868
0.0,129,11889.678679
0.0,127,11948.113384
1.0,168,12030.070358
3.0,228,12143.191289
0.0,129,12203.655398
1.0,170,12285.117744
0.0,127,12345.547123
1.0,176,12428.281581
2.0,224,12537.251171
1.0,173,12621.41716
1.0,176,12704.509813
0.0,125,12762.069069
4.0,277,12900.083839
1.0,153,12972.730057
4.0,299,13122.287921
1.0,157,13195.771568
2.0,205,13297.160265
2.0,224,13407.428041
0.0,129,13467.867907
2.0,200,13564.852824
1.0,155,13638.346506
0.0,125,13696.517801
0.0,129,13756.869392
3.0,272,13893.112473
0.0,127,13951.426054
2.0,180,14040.966686
1.0,173,14122.474532
0.0,127,14182.198181
2.0,205,14281.98392
2.0,224,14391.898998
0.0,127,14452.12614
0.0,127,14509.606312
0.0,123,14566.679309
1.0,177,14652.761099
3.0,274,14789.622756
3.0,273,14926.032462
2.0,198,15021.646297
0.0,127,15081.878111
0.0,129,15142.252821
2.0,200,15238.853152
0.0,127,15298.769945
0.0,127,15356.595598
0.0,129,15417.18953
1.0,153,15490.7535
1.0,173,15575.57653
3.0,248,15698.59007
1.0,174,15782.500989
0.0,129,15842.394562
0.0,125,15899.785064
0.0,127,15960.05994
0.0,123,16015.536252
0.0,129,16075.896837
0.0,129,16136.150704
0.0,129,16197.422723
