#{"t_start": 1518616763.9168553, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,175,64.287838
0.0,129,106.692102
1.0,157,155.753639
3.0,274,246.488184
3.0,276,338.764278
1.0,153,386.484079
0.0,127,426.302837
0.0,129,466.099917
0.0,127,505.437897
0.0,123,541.936157
0.0,127,582.083676
2.0,222,657.098784
1.0,173,710.404999
0.0,127,749.608128
2.0,203,815.281825
0.0,129,854.878335
2.0,222,933.865246
4.0,318,1039.807705
3.0,255,1122.228523
0.0,127,1161.939375
0.0,127,1201.661493
0.0,129,1241.494043
1.0,176,1296.432818
1.0,169,1348.979368
0.0,127,1387.957324
2.0,188,1446.368145
0.0,127,1485.760223
1.0,153,1533.779769
0.0,127,1571.63816
0.0,127,1610.683031
4.0,283,1703.904234
1.0,173,1759.241359
0.0,127,1797.516184
4.0,279,1888.460909
1.0,173,1943.25177
0.0,125,1981.205172
3.0,250,2062.5385
0.0,127,2101.908774
1.0,173,2156.483066
2.0,220,2233.223816
3.0,278,2326.804287
1.0,175,2383.312137
1.0,173,2439.969487
1.0,172,2494.295746
3.0,248,2576.692798
0.0,127,2617.24676
0.0,129,2658.047143
2.0,201,2723.412379
2.0,202,2790.436026
1.0,176,2846.170283
7.0,385,2980.948128
1.0,175,3044.980044
1.0,173,3108.467316
0.0,127,3152.284047
2.0,184,3218.686712
4.0,299,3320.628367
0.0,129,3361.177257
2.0,202,3427.719533
2.0,202,3493.016198
0.0,125,3531.753951
2.0,224,3606.852001
2.0,183,3670.01711
2.0,224,3755.339009
0.0,129,3797.808186
3.0,272,3890.75105
3.0,270,3991.908865
0.0,129,4054.167707
0.0,125,4114.024719
1.0,171,4198.380651
2.0,220,4306.341477
1.0,174,4389.482517
0.0,125,4446.835869
0.0,127,4507.049889
2.0,220,4614.310001
0.0,127,4672.292212
6.0,275,4809.523008
1.0,157,4882.781059
0.0,127,4942.480233
0.0,129,5002.262424
0.0,127,5060.648421
1.0,155,5136.868244
0.0,129,5196.958427
0.0,127,5254.822336
3.0,251,5379.396195
0.0,129,5439.033193
0.0,127,5497.642763
0.0,127,5557.37292
3.0,272,5690.48915
0.0,129,5750.600429
1.0,157,5826.035152
1.0,155,5899.774847
2.0,201,5998.939064
1.0,172,6080.103092
1.0,173,6163.916048
0.0,129,6223.674524
2.0,222,6333.926958
1.0,174,6417.127317
4.0,261,6546.516136
0.0,129,6606.168202
1.0,175,6689.55218
0.0,127,6749.330658
0.0,127,6807.237968
1.0,173,6890.590693
1.0,173,6974.094003
6.0,352,7151.932652
5.0,369,7337.994063
1.0,155,7411.70341
1.0,175,7495.730478
3.0,272,7630.716887
6.0,396,7829.130532
2.0,204,7929.138204
0.0,125,7987.07697
0.0,125,8044.862657
4.0,301,8196.83467
3.0,250,8320.771956
2.0,200,8419.389046
0.0,127,8479.814848
4.0,261,8609.029636
4.0,299,8758.633378
0.0,129,8819.075414
0.0,129,8879.562077
0.0,125,8937.473623
5.0,341,9109.546763
1.0,173,9192.876318
2.0,202,9289.528232
1.0,153,9361.432428
1.0,157,9437.200825
3.0,213,9539.590503
6.0,383,9733.95361
4.0,286,9877.360284
0.0,127,9935.633803
2.0,203,10035.480352
5.0,295,10182.817037
1.0,173,10265.725872
0.0,125,10323.457292
0.0,127,10383.352782
2.0,181,10470.085475
0.0,129,10530.158056
3.0,253,10655.35543
3.0,232,10771.060743
4.0,318,10929.221576
3.0,248,11052.533686
3.0,252,11178.476466
8.0,378,11370.285495
8.0,353,11546.48449
1.0,155,11622.404737
0.0,127,11681.155887
0.0,129,11742.333362
0.0,127,11803.13242
0.0,129,11863.690903
0.0,127,11921.836056
1.0,173,12006.511361
0.0,125,12064.58466
2.0,202,12164.270247
4.0,301,12314.744282
2.0,201,12412.596088
1.0,173,12495.452654
3.0,268,12627.149461
0.0,127,12685.894203
0.0,125,12743.868385
2.0,202,12842.463155
0.0,129,12902.63503
0.0,125,12959.720647
0.0,129,13020.527681
0.0,127,13080.039316
4.0,303,13229.728313
2.0,204,13329.229696
0.0,127,13388.752341
0.0,129,13449.915245
0.0,129,13510.033194
2.0,202,13609.530789
0.0,129,13669.624232
2.0,219,13777.605331
0.0,127,13835.329225
0.0,127,13895.789671
0.0,127,13954.122801
0.0,127,14014.645109
0.0,123,14072.270728
0.0,127,14130.467831
0.0,127,14189.976818
3.0,215,14295.072187
0.0,125,14352.890905
2.0,200,14451.967876
0.0,129,14511.723712
0.0,125,14568.986528
2.0,201,14666.434062
0.0,129,14726.876348
1.0,157,14802.848061
2.0,220,14910.419363
1.0,175,14995.060111
5.0,333,15162.847519
0.0,129,15222.719018
1.0,173,15306.694508
3.0,250,15429.917562
2.0,204,15529.894636
2.0,198,15627.716363
5.0,327,15790.732952
2.0,220,15899.5442
3.0,250,16022.791021
2.0,199,16119.812331
1.0,173,16204.711988
2.0,183,16291.555979
4.0,261,16422.039488
0.0,129,16482.204146
1.0,173,16565.894467
1.0,173,16647.682256
2.0,201,16746.440422
0.0,129,16807.104392
0.0,127,16865.155891
3.0,269,16998.896814
4.0,295,17148.268214
3.0,250,17271.831614
1.0,173,17356.316636
1.0,171,17438.240646
1.0,155,17512.039036
2.0,204,17611.775705
1.0,153,17685.875846
0.0,127,17745.981046
1.0,175,17830.347368
0.0,127,17888.778345
1.0,174,17972.124649
