#{"t_start": 1518616763.8399618, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
3.0,272,99.985962
2.0,223,172.856775
0.0,129,213.009119
0.0,127,251.863667
0.0,127,291.718797
1.0,175,347.795964
2.0,200,412.690206
0.0,129,452.605601
2.0,200,517.564147
1.0,172,571.847831
4.0,300,672.775685
1.0,175,728.979807
1.0,157,777.522733
1.0,172,832.70882
1.0,155,886.804914
0.0,127,928.445545
0.0,129,968.658085
0.0,127,1006.787421
1.0,153,1055.201368
4.0,277,1146.056394
0.0,127,1184.527695
3.0,248,1265.701215
3.0,232,1340.400836
1.0,177,1395.085916
1.0,173,1449.762869
2.0,200,1513.358822
1.0,175,1568.291812
1.0,178,1624.931624
1.0,173,1679.861545
2.0,202,1745.158296
1.0,155,1793.954344
1.0,155,1841.952396
1.0,152,1890.066189
2.0,191,1950.142354
0.0,127,1989.757946
1.0,153,2036.829181
0.0,129,2076.277598
1.0,175,2132.529208
1.0,173,2190.410607
2.0,202,2258.123041
1.0,173,2314.384062
1.0,155,2364.031661
0.0,127,2404.337622
1.0,171,2459.567884
2.0,202,2525.628203
1.0,175,2581.952623
0.0,127,2621.060369
0.0,127,2661.82712
1.0,155,2711.251794
0.0,127,2751.516726
1.0,175,2807.799629
0.0,125,2846.244893
0.0,129,2886.388493
0.0,125,2924.877316
2.0,197,2996.271544
1.0,157,3052.689558
2.0,200,3127.817211
1.0,155,3180.125933
0.0,129,3226.5115
0.0,127,3266.943823
0.0,129,3307.569076
2.0,198,3371.861716
4.0,276,3464.735718
0.0,129,3505.196652
3.0,250,3587.933967
1.0,157,3641.425872
0.0,125,3683.162345
1.0,171,3747.798007
4.0,263,3839.15543
0.0,127,3879.567078
0.0,123,3919.06499
0.0,127,3962.488391
1.0,173,4043.205765
0.0,127,4103.679483
2.0,202,4203.955163
0.0,129,4264.427186
1.0,173,4348.51703
0.0,127,4405.655222
0.0,127,4465.418245
0.0,125,4523.276808
1.0,155,4596.38936
0.0,129,4656.690155
1.0,175,4742.355889
1.0,153,4812.903527
0.0,125,4871.944072
1.0,155,4945.094821
1.0,157,5018.559094
0.0,127,5079.268918
2.0,206,5179.420823
2.0,223,5288.604805
0.0,127,5348.430876
0.0,129,5408.233964
0.0,125,5465.909738
1.0,173,5549.588881
3.0,218,5655.742356
1.0,175,5739.721278
