#{"t_start": 1518616763.9379115, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,157,56.403823
0.0,129,99.89099
0.0,127,139.961968
0.0,129,179.599017
1.0,155,228.679021
2.0,222,300.432048
0.0,127,340.675433
2.0,205,407.405688
1.0,155,456.043639
0.0,127,495.197949
1.0,157,545.090975
4.0,299,646.839506
3.0,251,727.311528
0.0,129,767.035199
0.0,129,806.84194
0.0,129,846.339228
0.0,129,892.369775
0.0,127,933.512343
3.0,239,1011.66207
0.0,129,1051.590756
0.0,125,1089.311512
1.0,177,1144.495153
0.0,127,1184.348516
2.0,218,1255.30077
1.0,176,1310.161995
0.0,129,1349.043158
0.0,127,1388.018376
0.0,127,1425.655696
1.0,173,1480.677598
0.0,127,1519.980229
0.0,125,1557.845427
0.0,127,1596.808616
1.0,153,1643.715351
3.0,274,1733.486769
0.0,129,1773.367006
1.0,151,1821.440526
0.0,127,1859.363068
0.0,127,1898.8072
2.0,202,1963.558322
0.0,129,2003.770972
2.0,218,2072.739016
5.0,351,2194.23103
0.0,127,2233.364649
1.0,172,2289.651738
0.0,125,2328.654094
1.0,175,2385.163142
5.0,330,2497.598248
1.0,178,2553.942801
5.0,333,2667.124253
0.0,129,2707.515073
0.0,127,2747.909688
3.0,270,2837.131894
1.0,173,2893.052118
0.0,125,2932.327102
1.0,155,2986.873701
0.0,127,3031.303094
2.0,198,3105.928038
4.0,276,3205.716396
1.0,153,3258.23876
0.0,127,3297.138164
0.0,127,3338.210593
1.0,170,3393.096196
2.0,183,3452.537992
2.0,202,3519.06705
0.0,129,3559.624164
0.0,127,3598.753716
1.0,155,3651.585217
0.0,129,3695.366935
0.0,125,3743.127285
0.0,129,3786.425156
7.0,323,3896.551229
1.0,173,3956.782678
0.0,129,4011.100368
3.0,252,4140.282059
0.0,125,4198.668152
3.0,234,4314.232054
2.0,226,4423.797529
2.0,202,4523.039886
1.0,157,4598.362907
0.0,127,4656.433263
0.0,129,4716.633037
1.0,175,4799.632343
0.0,129,4859.3323
0.0,127,4919.375833
2.0,222,5028.293893
1.0,151,5100.093827
0.0,127,5160.396317
0.0,127,5218.288737
0.0,125,5275.736457
0.0,127,5335.555037
0.0,127,5395.004288
2.0,200,5492.07865
0.0,129,5552.127243
1.0,171,5632.457848
2.0,223,5742.494982
2.0,204,5841.914485
0.0,127,5901.980547
1.0,155,5975.221761
3.0,250,6098.203297
0.0,129,6158.601779
1.0,171,6239.928674
1.0,175,6325.712087
0.0,129,6386.375009
1.0,175,6469.8812
0.0,127,6528.322783
2.0,204,6627.291143
0.0,127,6686.838841
0.0,129,6746.833224
1.0,173,6830.234258
0.0,125,6887.800426
0.0,127,6947.624795
0.0,129,7007.97108
2.0,183,7095.119267
0.0,129,7155.145083
2.0,202,7254.469177
3.0,248,7377.687714
2.0,199,7475.01075
1.0,152,7545.546785
3.0,267,7677.718664
4.0,301,7826.764613
4.0,297,7976.311893
3.0,257,8104.471789
1.0,175,8188.755551
0.0,129,8249.4412
0.0,125,8307.388097
6.0,329,8474.583863
1.0,178,8561.436493
6.0,396,8761.187979
0.0,125,8819.195079
0.0,129,8879.663312
0.0,127,8939.850827
2.0,188,9031.368035
1.0,175,9114.905931
0.0,125,9172.360255
0.0,127,9231.891097
2.0,200,9328.14639
0.0,129,9388.127548
1.0,155,9461.305759
2.0,222,9570.677697
1.0,171,9652.74034
1.0,155,9726.139585
0.0,127,9786.080928
0.0,129,9846.247252
0.0,127,9905.997736
3.0,246,10027.460267
1.0,153,10100.801091
0.0,129,10161.16707
1.0,171,10242.604237
0.0,127,10302.307429
3.0,233,10417.595826
0.0,125,10475.102667
0.0,127,10532.944341
0.0,127,10592.285356
1.0,155,10665.96069
2.0,201,10765.760062
0.0,127,10823.323552
0.0,129,10884.569002
1.0,157,10960.627123
0.0,129,11020.816797
0.0,127,11078.547984
0.0,123,11136.123401
0.0,129,11196.959548
1.0,171,11281.075933
1.0,157,11354.890004
1.0,175,11438.904387
0.0,129,11499.390803
2.0,200,11598.675854
0.0,127,11657.256054
3.0,251,11784.422472
0.0,127,11843.191775
0.0,127,11902.703434
3.0,250,12027.436621
1.0,173,12111.412239
0.0,127,12169.779069
0.0,125,12229.574132
2.0,218,12335.420382
4.0,298,12482.843024
1.0,153,12555.95931
1.0,155,12629.62294
10.0,453,12858.300313
0.0,127,12917.835452
0.0,129,12977.792948
3.0,250,13101.071641
0.0,129,13161.224273
1.0,173,13245.036438
3.0,251,13367.7945
0.0,127,13428.515501
0.0,127,13486.827023
0.0,129,13546.839827
4.0,301,13698.720294
0.0,127,13756.827025
1.0,155,13830.140222
0.0,127,13890.547271
2.0,206,13991.111591
4.0,302,14143.27072
0.0,125,14200.794812
0.0,129,14261.39598
0.0,129,14321.541356
2.0,202,14420.905799
4.0,300,14569.111152
1.0,175,14653.034848
1.0,171,14736.902371
0.0,129,14797.453561
0.0,127,14855.422614
1.0,173,14939.674328
4.0,299,15089.536041
2.0,201,15186.329838
3.0,247,15309.238235
4.0,321,15469.754663
5.0,329,15636.05718
1.0,173,15719.569155
0.0,127,15779.767109
2.0,220,15886.672755
0.0,127,15946.695431
0.0,123,16002.482959
1.0,157,16078.230311
1.0,175,16162.644038
2.0,202,16262.60547
2.0,221,16369.596142
2.0,224,16479.796648
0.0,123,16537.048844
1.0,153,16610.43159
0.0,129,16670.633904
1.0,153,16743.559304
2.0,223,16852.209348
0.0,129,16912.21619
2.0,201,17011.383276
1.0,176,17096.08608
0.0,125,17154.027056
0.0,127,17214.011126
2.0,200,17311.599146
0.0,129,17372.573565
0.0,129,17433.009535
2.0,224,17543.381895
4.0,300,17694.2238
2.0,204,17793.682443
2.0,203,17893.814854
0.0,127,17953.20925
0.0,129,18013.677482
2.0,202,18111.115142
0.0,127,18171.251973
0.0,127,18231.058285
1.0,176,18315.861428
2.0,200,18414.168201
0.0,129,18473.889995
3.0,248,18596.956413
0.0,127,18657.174481
0.0,127,18715.326096
1.0,155,18788.470522
1.0,175,18874.387966
1.0,173,18956.049212
2.0,220,19065.910892
4.0,303,19216.315276
3.0,273,19353.523045
0.0,127,19413.791081
1.0,153,19487.374866
2.0,222,19594.746603
0.0,129,19654.754983
4.0,321,19816.592528
2.0,208,19916.610948
2.0,223,20026.279276
2.0,198,20122.516169
1.0,157,20197.50337
0.0,127,20255.63066
0.0,127,20315.874953
0.0,125,20373.681127
2.0,220,20482.774843
0.0,129,20542.722762
0.0,129,20603.003241
2.0,202,20702.267351
0.0,129,20762.211071
0.0,127,20819.972079
0.0,125,20878.92501
0.0,127,20936.375221
2.0,202,21035.369145
0.0,129,21095.65403
0.0,127,21153.686263
0.0,127,21213.516732
