#{"t_start": 1518616763.8190649, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,44.915882
4.0,301,150.480429
1.0,175,206.103898
1.0,173,262.176017
2.0,199,326.415236
0.0,125,365.364325
1.0,175,421.139085
4.0,304,521.29758
1.0,155,570.208457
0.0,127,609.679447
4.0,300,710.417449
1.0,173,765.440721
1.0,173,820.554755
3.0,274,918.020537
1.0,175,973.991978
0.0,125,1012.007038
2.0,220,1082.902891
0.0,129,1122.320741
1.0,157,1172.40098
1.0,155,1221.118135
2.0,223,1293.086405
1.0,173,1347.278123
2.0,180,1403.53026
1.0,170,1456.76421
1.0,173,1511.619839
0.0,127,1550.970582
0.0,127,1588.665278
2.0,202,1653.829397
0.0,127,1692.06793
2.0,224,1764.875974
3.0,250,1847.016099
4.0,248,1926.50659
0.0,129,1965.733338
2.0,202,2031.532051
0.0,127,2070.847353
1.0,155,2119.110245
1.0,173,2174.925828
0.0,127,2217.74249
1.0,155,2267.104383
3.0,246,2349.776566
6.0,373,2476.604574
1.0,173,2531.212205
1.0,157,2582.057177
0.0,129,2622.650253
0.0,129,2663.654141
3.0,211,2732.348151
4.0,325,2842.458299
0.0,127,2881.19566
2.0,202,2949.382205
2.0,184,3015.558996
0.0,125,3058.907873
4.0,277,3163.119609
2.0,204,3236.925574
1.0,171,3291.771827
1.0,160,3343.617868
2.0,226,3419.231275
0.0,125,3457.742732
1.0,155,3507.053266
0.0,127,3547.45883
6.0,381,3681.309495
0.0,129,3728.358941
3.0,252,3819.041461
0.0,129,3860.112433
0.0,129,3901.761286
0.0,129,3945.083162
0.0,125,3991.860884
2.0,201,4092.926473
1.0,176,4179.982692
1.0,157,4254.069983
0.0,129,4314.468414
2.0,200,4410.810788
1.0,174,4494.506909
0.0,127,4554.471123
0.0,125,4612.002665
2.0,204,4711.523485
1.0,154,4784.229814
0.0,129,4843.866563
1.0,173,4927.463355
0.0,127,4986.695807
0.0,125,5044.466374
3.0,247,5166.355739
1.0,175,5251.87559
0.0,125,5309.175582
0.0,123,5366.739515
0.0,129,5426.196555
0.0,127,5484.65111
1.0,155,5557.888297
3.0,227,5669.128226
3.0,248,5792.195681
0.0,127,5850.283646
3.0,255,5977.935634
2.0,224,6087.629986
2.0,222,6195.279337
0.0,129,6255.366875
2.0,201,6354.761348
1.0,155,6427.851121
3.0,230,6541.301335
0.0,129,6601.051866
0.0,129,6660.749185
1.0,172,6744.005987
0.0,129,6804.12814
2.0,202,6901.128413
1.0,177,6987.103339
4.0,297,7134.528853
1.0,157,7209.956616
4.0,277,7348.607195
2.0,200,7445.941906
2.0,222,7553.588
1.0,173,7636.623484
0.0,129,7696.340097
0.0,129,7756.495784
0.0,125,7814.136853
3.0,250,7939.344445
1.0,174,8023.249059
2.0,200,8120.481445
5.0,316,8278.743855
1.0,159,8355.845441
1.0,159,8432.623418
0.0,129,8493.494439
4.0,316,8653.05889
3.0,251,8776.62763
2.0,204,8876.854933
0.0,123,8934.487254
3.0,250,9057.378913
1.0,157,9133.434088
0.0,127,9190.744813
0.0,129,9250.308451
3.0,270,9383.093168
0.0,125,9442.634652
0.0,127,9500.476533
3.0,253,9626.435538
0.0,127,9686.748883
4.0,297,9833.618562
1.0,173,9917.119783
0.0,127,9977.398996
0.0,127,10035.73889
0.0,129,10096.129335
1.0,155,10169.833566
2.0,222,10278.870656
2.0,201,10375.80183
1.0,173,10459.885119
0.0,127,10519.588146
2.0,220,10626.72981
1.0,155,10700.047364
1.0,152,10773.847362
2.0,201,10871.391576
0.0,125,10929.300594
5.0,352,11107.336999
0.0,127,11167.750204
0.0,129,11228.555892
2.0,200,11325.715131
