#{"t_start": 1518616763.9622254, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,200,74.207251
1.0,157,124.188975
3.0,248,205.967537
0.0,129,246.349547
1.0,176,302.161009
0.0,127,342.429208
2.0,201,407.46823
1.0,175,464.200289
0.0,125,502.0235
11.0,471,662.340364
2.0,189,722.251001
0.0,127,761.708069
0.0,125,799.944671
4.0,302,907.415814
3.0,266,994.386606
2.0,219,1065.359809
2.0,227,1139.010665
3.0,276,1229.523936
0.0,127,1268.830767
2.0,201,1331.947562
0.0,129,1371.062726
1.0,173,1425.407393
2.0,224,1497.724951
0.0,123,1535.385791
0.0,127,1573.238854
1.0,174,1628.282824
1.0,175,1683.383432
2.0,204,1748.880972
0.0,129,1788.894735
1.0,177,1845.305395
0.0,127,1884.714768
0.0,127,1922.781767
0.0,129,1961.986531
0.0,125,2000.557884
1.0,172,2055.463603
2.0,184,2113.938466
1.0,173,2168.479666
1.0,153,2222.593091
3.0,250,2305.447584
3.0,255,2390.327571
1.0,174,2447.212944
0.0,129,2487.128
0.0,125,2525.748688
0.0,129,2565.913707
0.0,129,2606.786813
3.0,250,2689.920576
0.0,129,2730.485595
1.0,175,2788.535288
3.0,251,2870.577999
3.0,245,2953.448795
3.0,270,3052.923649
0.0,127,3099.52156
0.0,123,3142.489464
0.0,129,3185.8261
0.0,127,3230.043146
0.0,125,3270.393845
0.0,127,3309.702782
1.0,173,3366.398845
0.0,123,3405.276434
2.0,222,3477.278819
2.0,224,3551.094347
1.0,170,3608.23079
3.0,250,3697.476263
0.0,129,3745.211676
0.0,127,3786.747231
0.0,129,3828.178783
0.0,127,3868.967315
0.0,129,3910.605993
0.0,129,3954.61786
3.0,217,4056.535902
0.0,129,4118.609665
0.0,127,4177.599353
8.0,372,4366.437888
1.0,171,4446.929207
3.0,271,4582.460956
1.0,155,4656.137604
1.0,173,4739.69239
2.0,200,4835.654909
0.0,129,4895.402613
1.0,154,4968.480974
0.0,127,5026.167542
4.0,321,5189.308134
1.0,173,5272.566064
0.0,125,5330.076091
1.0,156,5403.287652
3.0,274,5539.423431
2.0,202,5637.368912
5.0,327,5800.250526
1.0,174,5884.156408
4.0,318,6044.056946
0.0,127,6103.611893
0.0,127,6161.454667
2.0,198,6257.858863
2.0,198,6354.913942
3.0,248,6477.806509
1.0,173,6561.870417
5.0,344,6733.407297
3.0,272,6866.691157
0.0,127,6926.913011
0.0,127,6984.733037
0.0,125,7044.52787
3.0,254,7170.318575
2.0,202,7267.543665
0.0,127,7327.564336
3.0,268,7461.556246
1.0,155,7534.527972
4.0,302,7683.209658
1.0,177,7769.503005
0.0,129,7829.09245
3.0,252,7955.260453
1.0,155,8028.657859
2.0,200,8125.837801
0.0,127,8186.037759
1.0,171,8268.078903
2.0,204,8369.068694
1.0,155,8443.157962
9.0,389,8640.159213
0.0,127,8700.595351
0.0,125,8758.472245
0.0,127,8818.652151
0.0,125,8876.576277
1.0,151,8947.988309
0.0,127,9007.996279
3.0,230,9120.297291
0.0,125,9177.609859
0.0,129,9237.298205
3.0,246,9358.475192
2.0,216,9463.753664
0.0,127,9523.446934
0.0,127,9581.386598
0.0,129,9642.23064
0.0,127,9702.229724
0.0,127,9759.991999
3.0,232,9874.924813
0.0,127,9935.158677
0.0,125,9992.986989
1.0,155,10066.879796
0.0,127,10126.941235
0.0,129,10187.635336
0.0,127,10245.12975
2.0,224,10354.742809
2.0,225,10464.959226
0.0,129,10524.946881
1.0,173,10608.051553
1.0,173,10692.118843
0.0,123,10749.911539
0.0,129,10810.078072
2.0,200,10908.24936
0.0,127,10968.319273
0.0,125,11026.178536
1.0,157,11099.593817
0.0,127,11159.950048
2.0,217,11267.800514
1.0,171,11349.423154
0.0,123,11407.088223
1.0,173,11490.908355
3.0,255,11617.170921
0.0,125,11675.603259
4.0,321,11837.924026
4.0,294,11985.542821
2.0,200,12084.991321
2.0,221,12193.270458
1.0,153,12266.507732
1.0,173,12350.416898
0.0,125,12407.345361
0.0,125,12464.531474
0.0,127,12523.790129
2.0,204,12623.918401
1.0,153,12693.988321
1.0,173,12777.214688
4.0,299,12925.797248
0.0,129,12986.347676
6.0,275,13122.649224
2.0,217,13229.373653
0.0,127,13289.281392
2.0,206,13388.683289
2.0,200,13486.796201
5.0,350,13662.21054
4.0,299,13811.71763
2.0,204,13911.995193
0.0,129,13972.376061
2.0,207,14075.036397
0.0,127,14135.055461
3.0,251,14258.627242
0.0,127,14318.474452
0.0,129,14378.461767
0.0,127,14437.069627
2.0,221,14545.458391
3.0,248,14666.554203
3.0,250,14792.148753
