#{"t_start": 1518616763.8817277, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,175,64.319763
0.0,127,105.205489
0.0,129,145.420708
4.0,321,253.2741
0.0,123,290.082051
2.0,200,356.270996
2.0,199,420.861277
0.0,129,460.849893
2.0,201,524.624535
1.0,157,575.092125
0.0,129,614.714731
1.0,157,665.774967
1.0,157,715.361833
2.0,218,785.914872
0.0,129,825.629306
1.0,173,885.003392
2.0,224,960.094394
0.0,129,999.778148
0.0,125,1039.597667
6.0,378,1163.895198
2.0,185,1224.237544
1.0,173,1277.739374
2.0,188,1337.147406
0.0,127,1376.178115
0.0,127,1413.837716
4.0,279,1504.874697
0.0,129,1544.392071
5.0,280,1636.61412
1.0,178,1692.005272
3.0,248,1773.337991
2.0,200,1837.007022
2.0,224,1909.227142
1.0,155,1958.450537
0.0,127,1997.018993
1.0,157,2046.837746
2.0,202,2110.743597
0.0,129,2149.914281
1.0,157,2205.406225
2.0,222,2279.087495
0.0,125,2317.828097
3.0,231,2394.03222
0.0,127,2434.475163
0.0,129,2474.865834
2.0,200,2539.833526
1.0,157,2590.630064
0.0,129,2631.205981
2.0,224,2705.618735
0.0,129,2746.102335
4.0,298,2844.475492
0.0,127,2884.53578
0.0,127,2924.526581
0.0,125,2967.388527
2.0,223,3049.005097
0.0,123,3090.956796
0.0,129,3137.310267
3.0,249,3228.35721
1.0,170,3284.649473
1.0,153,3333.093043
0.0,127,3373.441026
2.0,223,3447.236566
2.0,221,3519.365136
2.0,202,3586.0367
4.0,278,3684.84298
0.0,129,3732.589676
1.0,176,3794.017644
1.0,173,3851.275352
1.0,172,3907.22986
2.0,202,3981.89548
2.0,222,4095.016349
1.0,171,4177.530754
0.0,123,4235.54891
2.0,202,4333.174804
1.0,175,4418.090144
4.0,288,4559.735281
1.0,173,4643.587453
1.0,152,4716.377725
0.0,125,4773.72158
4.0,299,4922.066989
2.0,220,5028.783555
0.0,125,5087.261713
2.0,184,5176.7223
0.0,127,5236.469863
2.0,183,5324.964366
0.0,129,5384.944847
0.0,127,5442.374682
3.0,253,5567.91816
0.0,125,5624.659304
0.0,129,5685.055362
0.0,127,5745.159635
2.0,202,5844.236005
3.0,230,5956.829633
2.0,220,6064.613355
0.0,127,6124.322152
0.0,125,6181.790555
2.0,200,6279.094205
3.0,216,6384.31175
2.0,223,6494.038539
2.0,224,6603.771357
1.0,175,6687.155382
3.0,250,6811.908216
1.0,173,6893.401247
0.0,127,6953.150795
1.0,155,7026.667331
1.0,174,7110.990953
1.0,171,7194.11165
1.0,155,7267.316615
1.0,176,7351.675622
2.0,225,7462.281671
3.0,252,7586.598654
2.0,222,7695.883029
2.0,184,7784.958997
1.0,171,7866.452433
0.0,129,7926.43532
0.0,129,7986.911944
3.0,248,8109.90593
3.0,228,8222.805491
1.0,177,8307.656742
3.0,228,8421.919723
1.0,178,8508.816594
2.0,202,8606.472141
5.0,372,8794.921408
7.0,328,8961.151089
0.0,127,9018.855505
0.0,127,9078.478975
1.0,157,9154.089434
1.0,157,9227.021334
1.0,159,9302.628106
6.0,365,9484.936737
3.0,232,9599.955882
0.0,129,9660.425769
1.0,174,9744.097247
2.0,206,9843.956969
0.0,127,9903.745291
2.0,202,10003.652487
0.0,125,10061.478615
0.0,129,10122.063445
1.0,153,10195.587349
1.0,155,10268.138203
0.0,123,10325.623369
0.0,127,10383.696916
2.0,190,10475.523849
2.0,198,10571.805263
0.0,127,10631.697672
0.0,127,10689.760123
0.0,129,10750.462745
2.0,200,10849.777775
1.0,153,10921.476525
0.0,129,10982.052505
2.0,200,11080.719836
0.0,127,11138.856031
1.0,175,11223.66764
2.0,226,11336.105125
0.0,125,11394.095278
1.0,154,11467.704703
3.0,250,11591.057339
0.0,129,11651.954154
2.0,223,11763.429738
0.0,129,11824.240963
0.0,127,11884.515078
1.0,171,11966.620958
2.0,206,12067.308606
1.0,155,12143.068551
9.0,384,12337.633318
2.0,202,12433.629204
2.0,222,12542.54611
3.0,246,12662.794148
4.0,302,12813.760349
1.0,174,12897.412925
1.0,173,12980.493885
3.0,270,13114.326148
0.0,127,13172.215843
0.0,127,13232.100932
1.0,157,13307.678097
2.0,200,13404.894458
0.0,127,13463.20342
0.0,125,13522.694741
0.0,127,13581.081966
4.0,299,13730.923869
3.0,248,13853.61112
1.0,157,13929.976362
0.0,129,13990.555026
4.0,297,14138.148674
0.0,127,14197.926181
0.0,129,14258.531215
0.0,129,14318.743533
0.0,127,14376.4934
3.0,236,14493.735058
2.0,222,14600.565465
0.0,127,14661.027368
1.0,157,14736.957071
1.0,153,14808.578554
2.0,187,14899.915371
0.0,129,14960.656677
2.0,200,15058.00488
1.0,157,15134.189131
1.0,157,15207.205331
4.0,299,15356.608058
0.0,129,15417.198323
2.0,202,15516.661695
3.0,251,15641.464891
1.0,157,15716.827307
3.0,271,15850.28757
0.0,127,15910.153081
0.0,123,15968.102615
0.0,129,16028.069633
3.0,250,16151.575498
0.0,129,16212.848236
0.0,125,16270.757957
2.0,202,16369.360977
4.0,283,16510.955385
0.0,129,16571.363531
0.0,127,16628.918972
2.0,198,16725.668321
5.0,350,16901.595627
0.0,127,16961.904367
3.0,232,17075.299159
4.0,323,17237.597763
0.0,127,17298.094008
2.0,223,17408.927218
1.0,155,17482.954578
1.0,173,17566.792247
0.0,129,17627.17252
1.0,175,17712.137331
2.0,206,17812.33944
0.0,129,17872.770056
0.0,125,17930.347791
0.0,129,17990.380238
2.0,224,18100.586759
3.0,232,18215.518319
