#{"t_start": 1518616763.8635929, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,205,76.268696
3.0,252,159.227655
0.0,127,198.91907
2.0,200,263.924566
1.0,175,319.55559
0.0,123,358.214552
4.0,281,450.838019
0.0,127,490.077166
3.0,228,564.582899
0.0,127,602.951715
0.0,129,645.480039
0.0,127,684.497991
1.0,173,739.400173
4.0,323,846.251041
5.0,352,970.629606
0.0,127,1010.105719
0.0,125,1048.36244
1.0,177,1104.729715
1.0,157,1153.253104
0.0,129,1193.067144
0.0,127,1233.012667
1.0,173,1287.819927
2.0,221,1357.607486
0.0,129,1396.727844
0.0,123,1434.068119
0.0,127,1472.15308
0.0,129,1511.735749
0.0,127,1551.08402
1.0,173,1605.554654
0.0,125,1643.633762
2.0,203,1709.138126
0.0,125,1747.005972
2.0,185,1806.230163
2.0,209,1873.043494
0.0,125,1911.011496
0.0,127,1950.118436
2.0,202,2015.916129
1.0,155,2064.076365
4.0,299,2161.672955
2.0,224,2240.349301
2.0,204,2307.307984
1.0,175,2364.013728
1.0,178,2422.201673
0.0,127,2461.406099
0.0,129,2501.532776
0.0,127,2541.640826
0.0,127,2581.847056
1.0,173,2636.864768
0.0,127,2677.589649
3.0,272,2769.01412
0.0,129,2809.326879
1.0,171,2863.509785
5.0,293,2965.477724
0.0,127,3007.215019
2.0,203,3082.717636
3.0,230,3167.398751
0.0,129,3211.801821
0.0,129,3254.88426
2.0,201,3322.404416
2.0,181,3380.648951
2.0,201,3447.167874
8.0,368,3570.462512
0.0,125,3611.927933
0.0,125,3653.251972
3.0,250,3747.688711
0.0,127,3790.282621
2.0,200,3856.475586
0.0,125,3896.455273
2.0,204,3968.448676
0.0,125,4024.68696
2.0,220,4135.445277
3.0,247,4259.063464
0.0,129,4319.709994
1.0,155,4392.505577
1.0,155,4465.702753
2.0,204,4564.915351
0.0,127,4625.100607
4.0,248,4747.669583
1.0,157,4820.68252
0.0,127,4879.956816
0.0,129,4940.085205
0.0,125,4997.433016
4.0,300,5148.079964
1.0,155,5223.053113
0.0,129,5283.016578
0.0,123,5338.548191
1.0,178,5424.036617
1.0,155,5497.838274
3.0,253,5621.897072
1.0,175,5705.829976
2.0,223,5815.843097
0.0,129,5876.205238
1.0,169,5957.084249
1.0,153,6030.824288
0.0,125,6087.963383
1.0,155,6161.546766
5.0,373,6349.838012
2.0,223,6459.322222
1.0,155,6533.545813
1.0,171,6616.278432
0.0,127,6673.941891
1.0,157,6749.373796
1.0,173,6832.850002
0.0,129,6892.845704
2.0,200,6989.690389
2.0,221,7097.801897
0.0,123,7154.93117
2.0,200,7252.066105
3.0,267,7385.645726
3.0,235,7500.87512
2.0,188,7591.702579
0.0,129,7651.951486
0.0,129,7711.789504
1.0,153,7784.985317
3.0,253,7908.616772
3.0,250,8033.954074
0.0,123,8089.45682
4.0,299,8239.531776
1.0,173,8323.627717
1.0,175,8409.074928
3.0,233,8525.071264
0.0,129,8585.441108
4.0,277,8724.063845
3.0,255,8850.466775
0.0,125,8908.417589
1.0,168,8989.756892
2.0,184,9078.488417
1.0,157,9154.113368
0.0,127,9211.389384
1.0,155,9284.45585
5.0,348,9458.663563
1.0,173,9541.959163
3.0,250,9665.987485
2.0,202,9764.975157
0.0,125,9822.763477
1.0,153,9895.653679
