#{"t_start": 1518616763.8889346, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,129,44.850131
0.0,127,89.395895
1.0,157,140.009784
2.0,204,205.873117
2.0,202,270.775812
2.0,223,344.261128
3.0,250,426.424076
1.0,178,483.223706
0.0,127,522.764053
2.0,198,585.728995
0.0,123,623.522391
0.0,125,664.144769
2.0,204,729.236534
12.0,550,923.118141
0.0,125,961.653238
2.0,220,1032.767651
2.0,199,1096.2691
1.0,173,1151.37368
0.0,129,1191.149081
2.0,188,1251.832515
1.0,155,1299.794135
1.0,157,1347.442744
2.0,203,1412.063274
3.0,253,1494.289087
0.0,125,1532.251413
1.0,155,1580.230752
2.0,204,1645.456011
1.0,175,1702.158486
3.0,249,1783.555469
1.0,175,1838.463117
1.0,175,1893.605843
1.0,155,1941.700451
2.0,204,2007.486928
0.0,129,2046.98454
3.0,229,2120.892801
1.0,175,2177.375675
3.0,267,2270.434853
0.0,129,2310.891672
0.0,129,2351.544786
1.0,155,2400.900408
2.0,204,2468.121937
1.0,173,2523.963304
2.0,224,2597.974551
2.0,202,2665.217758
1.0,169,2719.734753
1.0,173,2774.670195
0.0,127,2814.611152
1.0,173,2870.565026
0.0,125,2908.769818
0.0,129,2951.286624
0.0,125,2994.430185
2.0,202,3068.939444
0.0,129,3116.028709
4.0,317,3231.905498
1.0,177,3289.898822
1.0,173,3346.93202
0.0,129,3387.603924
1.0,174,3443.579226
2.0,205,3510.550955
0.0,127,3550.866298
0.0,129,3591.169599
0.0,127,3632.266683
0.0,129,3675.648203
4.0,323,3797.748096
1.0,176,3854.918676
0.0,127,3896.43311
2.0,198,3966.229801
2.0,201,4062.473855
0.0,125,4122.047964
0.0,129,4183.117627
0.0,129,4243.824021
2.0,201,4343.029298
0.0,129,4402.698201
1.0,173,4486.148152
1.0,173,4567.525004
3.0,250,4692.701674
0.0,127,4750.596656
0.0,127,4809.739509
0.0,125,4866.900709
2.0,220,4974.01301
3.0,250,5097.831805
3.0,250,5223.036175
1.0,173,5304.253812
1.0,155,5379.423216
5.0,309,5533.708551
1.0,178,5616.902144
0.0,125,5676.701438
1.0,173,5758.54745
1.0,171,5841.755461
1.0,157,5915.565078
3.0,254,6041.612058
0.0,127,6101.013498
1.0,174,6184.4918
1.0,171,6266.174842
2.0,200,6365.305382
0.0,129,6425.078995
1.0,157,6499.392084
2.0,202,6598.220346
4.0,260,6725.8491
4.0,299,6874.512221
0.0,127,6934.591745
0.0,127,6992.591671
3.0,272,7129.108171
0.0,129,7188.96809
0.0,125,7246.749503
0.0,127,7306.519574
0.0,127,7364.833179
0.0,129,7425.258937
4.0,262,7555.802536
1.0,153,7628.035438
0.0,123,7683.273285
1.0,173,7766.964632
1.0,168,7847.74121
2.0,200,7945.021481
3.0,251,8070.641154
2.0,223,8178.816493
1.0,174,8263.250365
0.0,125,8323.191479
2.0,222,8432.568787
2.0,201,8532.627451
1.0,155,8605.998891
3.0,242,8724.492817
2.0,202,8824.307906
2.0,202,8923.644561
1.0,173,9005.804623
1.0,176,9091.348356
2.0,182,9177.87258
0.0,125,9236.961011
1.0,173,9318.215356
1.0,173,9401.271869
2.0,202,9500.114803
3.0,250,9623.762387
0.0,125,9681.874156
0.0,127,9741.260023
3.0,269,9874.823895
0.0,127,9933.135486
5.0,330,10100.724306
3.0,272,10234.804938
1.0,176,10320.523003
2.0,199,10417.645961
1.0,153,10488.561818
2.0,186,10579.260016
3.0,271,10713.152048
0.0,129,10774.068401
1.0,155,10847.558661
0.0,129,10908.636089
0.0,125,10968.393282
0.0,127,11026.521419
3.0,251,11151.750061
1.0,171,11234.028096
4.0,296,11381.229926
1.0,173,11465.193435
1.0,173,11548.870558
2.0,200,11646.559951
1.0,175,11731.942449
1.0,157,11808.53777
2.0,201,11905.818001
0.0,127,11966.618207
0.0,127,12027.197731
6.0,360,12209.017752
1.0,171,12290.589103
2.0,190,12382.147767
3.0,237,12498.444132
0.0,127,12558.470686
1.0,173,12639.712209
0.0,127,12699.162502
0.0,129,12759.206738
2.0,202,12858.092281
2.0,200,12954.243448
0.0,127,13013.01764
0.0,129,13072.847007
1.0,157,13148.118399
1.0,157,13223.983388
2.0,188,13313.395086
0.0,129,13373.304131
3.0,247,13497.050035
4.0,299,13646.382902
1.0,173,13730.652739
0.0,127,13788.31756
2.0,200,13887.710074
2.0,190,13980.028687
1.0,173,14064.322362
1.0,153,14135.672123
0.0,125,14195.146119
2.0,204,14294.642215
2.0,202,14391.903121
0.0,129,14452.447244
1.0,174,14535.680146
1.0,173,14618.774535
1.0,157,14694.981995
5.0,330,14860.53061
1.0,175,14944.939351
1.0,173,15028.961305
0.0,129,15089.376247
4.0,301,15238.860199
0.0,127,15298.777667
3.0,237,15414.624618
1.0,173,15498.594855
2.0,223,15609.576808
0.0,129,15669.87363
0.0,129,15730.034466
0.0,129,15790.469859
0.0,127,15849.753879
2.0,202,15947.25302
0.0,127,16007.3316
0.0,125,16065.167589
2.0,224,16175.716292
5.0,316,16333.161614
1.0,171,16416.943818
1.0,171,16498.349312
3.0,248,16620.884802
0.0,125,16678.791983
4.0,267,16812.585329
0.0,129,16872.546334
2.0,199,16969.790376
2.0,200,17067.337686
3.0,212,17171.709365
4.0,301,17322.030457
1.0,172,17406.286385
1.0,175,17490.708586
0.0,129,17551.02288
1.0,156,17624.988258
0.0,127,17685.795527
1.0,177,17769.962747
3.0,215,17877.634231
2.0,203,17974.820094
3.0,228,18087.342762
1.0,155,18161.148916
1.0,173,18244.549832
0.0,127,18305.294327
0.0,129,18365.866329
0.0,125,18424.714655
0.0,129,18484.417952
3.0,246,18605.135874
1.0,175,18691.497084
0.0,129,18751.601884
0.0,127,18809.447031
0.0,125,18867.191047
0.0,129,18927.51304
1.0,175,19013.605118
0.0,127,19071.437783
2.0,185,19161.138788
1.0,151,19234.841539
1.0,155,19308.645943
1.0,157,19384.769354
0.0,127,19443.1866
2.0,222,19552.886368
1.0,175,19636.396489
0.0,127,19696.372638
5.0,329,19861.28351
2.0,202,19958.492121
0.0,129,20018.461051
3.0,251,20142.89203
1.0,173,20224.654353
0.0,127,20284.723659
0.0,129,20344.916218
1.0,157,20420.758695
1.0,173,20504.329934
