#{"t_start": 1518616763.8919103, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,44.6624
2.0,199,113.747267
1.0,173,169.277082
0.0,129,209.453113
4.0,279,302.002324
0.0,127,340.877445
0.0,129,381.125199
2.0,200,447.05077
1.0,155,495.159436
2.0,186,553.913657
1.0,155,602.926972
0.0,125,645.145399
2.0,224,716.960405
1.0,157,765.454926
1.0,176,822.151918
1.0,177,882.500461
0.0,129,925.187923
0.0,125,963.673022
0.0,125,1002.92917
1.0,151,1050.069653
2.0,203,1115.15046
1.0,171,1168.961078
0.0,129,1208.878334
3.0,249,1289.707762
4.0,283,1381.342041
0.0,129,1420.477068
3.0,231,1494.456605
0.0,127,1533.888653
2.0,200,1597.086968
2.0,204,1662.465135
1.0,177,1719.541122
1.0,152,1766.543125
3.0,272,1855.754214
0.0,129,1895.348856
0.0,129,1934.787455
2.0,186,1993.540845
0.0,129,2033.319569
1.0,153,2081.462514
4.0,259,2165.22483
1.0,173,2226.335428
0.0,127,2266.71559
1.0,173,2321.649451
1.0,155,2372.649243
1.0,173,2427.721858
0.0,125,2467.889713
0.0,129,2508.287674
2.0,222,2580.281026
0.0,125,2619.245807
0.0,129,2660.140423
0.0,129,2700.565179
2.0,200,2767.286374
0.0,123,2804.501325
2.0,222,2877.604423
2.0,186,2938.329292
4.0,281,3043.010361
0.0,127,3086.699125
3.0,256,3181.829057
1.0,155,3237.013845
3.0,274,3329.498644
2.0,200,3394.909144
3.0,252,3478.842522
0.0,129,3519.201119
3.0,270,3610.27639
1.0,153,3662.333449
1.0,171,3723.966957
0.0,129,3770.041376
6.0,404,3910.791964
2.0,201,3986.003495
4.0,266,4121.691538
0.0,129,4182.809711
1.0,173,4266.894637
1.0,155,4340.561512
3.0,234,4454.821343
3.0,248,4577.511657
0.0,127,4635.911572
8.0,423,4848.841974
1.0,173,4932.290413
0.0,129,4992.106982
1.0,174,5076.405792
2.0,180,5163.509987
3.0,253,5288.388592
2.0,200,5385.145085
2.0,223,5494.885103
1.0,175,5578.170357
0.0,127,5637.435379
2.0,200,5734.451595
4.0,280,5873.60471
2.0,201,5972.596917
0.0,127,6030.960932
4.0,297,6179.218903
3.0,232,6292.421993
1.0,174,6376.459548
0.0,123,6433.397145
0.0,127,6493.702732
1.0,153,6567.166455
0.0,129,6626.808212
1.0,173,6708.114302
2.0,204,6807.264428
2.0,202,6906.129179
7.0,432,7126.447377
2.0,224,7235.982723
0.0,125,7293.448053
1.0,157,7367.596047
0.0,127,7427.69277
1.0,157,7503.280349
0.0,129,7563.390593
1.0,155,7636.243781
4.0,263,7766.525946
0.0,125,7823.860105
3.0,232,7937.260235
3.0,270,8073.244201
0.0,129,8133.61906
0.0,125,8191.529529
2.0,220,8299.636524
0.0,127,8360.880818
5.0,332,8527.765356
0.0,125,8585.539989
